L,T,epsilon,m_abs,Cv,chi
60,2.394444444,-1.211602778,0.167319,0.0003287295167,0.006592796939
60,2.4,-1.206243556,0.1741683333,0.000318184969,0.006967251696
80,2.1,-1.660586687,0.8662903125,0.0001504195492,0.0001781920647
80,2.15,-1.608936812,0.8344077812,0.0001829443583,0.0003302618049
80,2.116666667,-1.646121437,0.8599804687,0.0001634904373,0.0001761773066
80,2.133333333,-1.628034875,0.84859025,0.0001639852815,0.0001915374424
80,2.166666667,-1.587353063,0.8142030938,0.0002040310508,0.000743289334
80,2.183333333,-1.5695735,0.8079474688,0.0001840182096,0.0003386403669
80,2.2,-1.548951562,0.7924565313,0.0002014686769,0.0004328255927
80,2.233333333,-1.497978187,0.7447925313,0.000219683404,0.0006647270436
80,2.216666667,-1.523849438,0.7695995,0.0002217394928,0.0006449740029
80,2.25,-1.464484875,0.689607875,0.0002943736955,0.00199121614
80,2.25,-1.464484875,0.689607875,0.0002943736955,0.00199121614
80,2.260526316,-1.450455688,0.6798963125,0.0002534551579,0.001681369245
80,2.255263158,-1.454181375,0.6653312188,0.0002918599535,0.003183517295
80,2.265789474,-1.424505313,0.5921713438,0.0003298631276,0.006418663967
80,2.271052632,-1.403265187,0.4937806563,0.000404374409,0.0159496998
80,2.281578947,-1.382351625,0.4612703437,0.0003261209052,0.0135566055
80,2.276315789,-1.397853063,0.4873079063,0.0004014455928,0.02299771235
80,2.286842105,-1.3913575,0.5379189375,0.0003201530446,0.01042669496
80,2.292105263,-1.350998063,0.3122507812,0.0003540795227,0.01747807998
80,2.297368421,-1.353901313,0.3879104062,0.0002758251768,0.01538894011
80,2.302631579,-1.356029938,0.485601375,0.0003339599599,0.007741398292
80,2.307894737,-1.329107437,0.2820533437,0.0002934570658,0.01413590669
80,2.318421053,-1.321557375,0.3487085,0.0002546826211,0.01139843836
80,2.313157895,-1.332328625,0.3866198438,0.0002953828641,0.01406308987
80,2.323684211,-1.31176025,0.3623214062,0.0002785024631,0.009834053109
80,2.328947368,-1.286857375,0.1666362188,0.0001960386772,0.00568398825
80,2.334210526,-1.28023475,0.183706125,0.0001976016125,0.005287389858
80,2.339473684,-1.277907187,0.1686388125,0.000209030944,0.004505844632
80,2.344736842,-1.271567625,0.1805866562,0.0001925946543,0.007455049567
80,2.35,-1.268699,0.2326349063,0.0002282347457,0.01073008066
80,2.35,-1.268699,0.2326349063,0.0002282347457,0.01073008066
80,2.355555556,-1.259730875,0.1661044375,0.0002049009805,0.006018464224
80,2.361111111,-1.252484937,0.1508112188,0.00019981448,0.00518105274
80,2.366666667,-1.243636438,0.1801809062,0.0001815715831,0.005099419904
80,2.372222222,-1.23115325,0.1479791562,0.000177015119,0.004256173758
80,2.377777778,-1.2238565,0.1309534062,0.0001760605645,0.004436350435
80,2.383333333,-1.223596313,0.1495023437,0.0001938728109,0.004893913491
80,2.388888889,-1.213579875,0.1229990938,0.00016172721,0.003433314178
80,2.394444444,-1.21226575,0.179271125,0.000180804781,0.005009564366
80,2.4,-1.203653938,0.1140381875,0.0001646123912,0.002902290403
100,2.1,-1.66372796,0.87070096,9.553811751e-05,8.499296717e-05
100,2.116666667,-1.6457424,0.85928108,0.0001027431318,0.0001152485755
