cycle,instant_energy,cumulative_energy
0,-0.06,-0.06
1,-0.79,-0.425
2,-1.03,-0.6266666667
3,-1.18,-0.765
4,-1.3,-0.872
5,-1.33,-0.9483333333
6,-1.42,-1.015714286
7,-1.47,-1.0725
8,-1.47,-1.116666667
9,-1.52,-1.157
10,-1.57,-1.194545455
11,-1.62,-1.23
12,-1.64,-1.261538462
13,-1.65,-1.289285714
14,-1.69,-1.316
15,-1.7,-1.34
16,-1.71,-1.361764706
17,-1.68,-1.379444444
18,-1.7,-1.396315789
19,-1.75,-1.414
20,-1.78,-1.431428571
21,-1.78,-1.447272727
22,-1.89,-1.466521739
23,-1.96,-1.487083333
24,-1.98,-1.5068
25,-2,-1.525769231
26,-2,-1.543333333
27,-2,-1.559642857
28,-2,-1.574827586
29,-2,-1.589
30,-2,-1.602258065
31,-2,-1.6146875
32,-2,-1.626363636
33,-2,-1.637352941
34,-2,-1.647714286
35,-2,-1.6575
36,-2,-1.666756757
37,-2,-1.675526316
38,-2,-1.683846154
39,-2,-1.69175
40,-2,-1.699268293
41,-2,-1.706428571
42,-2,-1.713255814
43,-2,-1.719772727
44,-2,-1.726
45,-2,-1.731956522
46,-2,-1.737659574
47,-2,-1.743125
48,-2,-1.748367347
49,-2,-1.7534
50,-2,-1.758235294
51,-2,-1.762884615
52,-2,-1.767358491
53,-2,-1.771666667
54,-2,-1.775818182
55,-2,-1.779821429
56,-2,-1.783684211
57,-2,-1.787413793
58,-2,-1.791016949
59,-2,-1.7945
60,-2,-1.797868852
61,-2,-1.801129032
62,-2,-1.804285714
63,-2,-1.80734375
64,-2,-1.810307692
65,-2,-1.813181818
66,-2,-1.815970149
67,-1.98,-1.818382353
68,-2,-1.821014493
69,-2,-1.823571429
70,-2,-1.826056338
71,-2,-1.828472222
72,-2,-1.830821918
73,-2,-1.833108108
74,-2,-1.835333333
75,-2,-1.8375
76,-2,-1.83961039
77,-2,-1.841666667
78,-2,-1.843670886
79,-2,-1.845625
80,-2,-1.847530864
81,-1.98,-1.849146341
82,-2,-1.850963855
83,-2,-1.852738095
84,-2,-1.854470588
85,-2,-1.856162791
86,-2,-1.857816092
87,-2,-1.859431818
88,-2,-1.861011236
89,-2,-1.862555556
90,-2,-1.864065934
91,-2,-1.865543478
92,-2,-1.866989247
93,-2,-1.868404255
94,-2,-1.869789474
95,-2,-1.871145833
96,-2,-1.872474227
97,-2,-1.87377551
98,-2,-1.875050505
99,-2,-1.8763
100,-2,-1.877524752
101,-2,-1.87872549
102,-2,-1.879902913
103,-2,-1.881057692
104,-2,-1.882190476
105,-1.98,-1.883113208
106,-1.98,-1.884018692
107,-1.98,-1.884907407
108,-1.98,-1.885779817
109,-1.98,-1.886636364
110,-2,-1.887657658
111,-2,-1.888660714
112,-2,-1.889646018
113,-2,-1.890614035
114,-2,-1.891565217
115,-2,-1.8925
116,-2,-1.893418803
117,-2,-1.894322034
118,-2,-1.895210084
119,-2,-1.896083333
120,-2,-1.896942149
121,-2,-1.897786885
122,-2,-1.898617886
123,-2,-1.899435484
124,-1.98,-1.90008
125,-1.98,-1.900714286
126,-2,-1.901496063
127,-2,-1.902265625
128,-2,-1.903023256
129,-2,-1.903769231
130,-2,-1.904503817
131,-2,-1.905227273
132,-1.96,-1.905639098
133,-1.98,-1.90619403
134,-2,-1.906888889
135,-2,-1.907573529
136,-2,-1.908248175
137,-2,-1.908913043
138,-2,-1.909568345
139,-2,-1.910214286
140,-1.98,-1.91070922
141,-2,-1.911338028
