cycle,instant_energy,cumulative_energy
272,-2,-1.998021978
273,-2,-1.998029197
274,-2,-1.998036364
275,-2,-1.998043478
276,-2,-1.998050542
277,-2,-1.998057554
278,-2,-1.998064516
279,-2,-1.998071429
280,-1.98,-1.998007117
281,-2,-1.998014184
282,-2,-1.998021201
283,-2,-1.998028169
284,-2,-1.998035088
285,-2,-1.998041958
286,-2,-1.99804878
287,-2,-1.998055556
288,-2,-1.998062284
289,-2,-1.998068966
290,-1.98,-1.998006873
291,-1.98,-1.997945205
292,-2,-1.997952218
293,-2,-1.997959184
294,-2,-1.997966102
295,-2,-1.997972973
296,-2,-1.997979798
297,-1.98,-1.997919463
298,-1.98,-1.997859532
299,-2,-1.997866667
300,-2,-1.997873754
301,-2,-1.997880795
302,-1.98,-1.997821782
303,-1.98,-1.997763158
304,-2,-1.997770492
305,-2,-1.997777778
306,-2,-1.997785016
307,-2,-1.997792208
308,-2,-1.997799353
309,-2,-1.997806452
310,-2,-1.997813505
311,-2,-1.997820513
312,-2,-1.997827476
313,-2,-1.997834395
314,-2,-1.99784127
315,-2,-1.997848101
316,-2,-1.99785489
317,-2,-1.997861635
318,-2,-1.997868339
319,-2,-1.997875
320,-1.98,-1.997819315
321,-2,-1.997826087
322,-2,-1.997832817
323,-2,-1.997839506
324,-2,-1.997846154
325,-2,-1.997852761
326,-2,-1.997859327
327,-2,-1.997865854
328,-2,-1.99787234
329,-2,-1.997878788
330,-2,-1.997885196
331,-2,-1.997891566
332,-2,-1.997897898
333,-2,-1.997904192
334,-2,-1.997910448
335,-2,-1.997916667
336,-2,-1.997922849
337,-2,-1.997928994
338,-2,-1.997935103
339,-2,-1.997941176
340,-2,-1.997947214
341,-2,-1.997953216
342,-2,-1.997959184
343,-2,-1.997965116
344,-1.98,-1.997913043
345,-1.98,-1.997861272
346,-1.98,-1.997809798
347,-2,-1.997816092
348,-2,-1.99782235
349,-2,-1.997828571
350,-2,-1.997834758
351,-2,-1.997840909
352,-2,-1.997847025
353,-2,-1.997853107
354,-2,-1.997859155
355,-2,-1.997865169
356,-2,-1.997871148
357,-1.98,-1.997821229
358,-1.98,-1.997771588
359,-2,-1.997777778
360,-2,-1.997783934
361,-2,-1.997790055
362,-2,-1.997796143
363,-2,-1.997802198
364,-2,-1.997808219
365,-2,-1.997814208
366,-2,-1.997820163
367,-2,-1.997826087
368,-2,-1.997831978
369,-2,-1.997837838
370,-2,-1.997843666
371,-2,-1.997849462
372,-2,-1.997855228
373,-2,-1.997860963
374,-2,-1.997866667
375,-1.98,-1.997819149
376,-1.98,-1.997771883
377,-2,-1.997777778
378,-2,-1.997783641
379,-2,-1.997789474
380,-2,-1.997795276
381,-2,-1.997801047
382,-2,-1.997806789
383,-1.98,-1.997760417
384,-2,-1.997766234
385,-2,-1.997772021
386,-2,-1.997777778
387,-2,-1.997783505
388,-2,-1.997789203
389,-2,-1.997794872
390,-2,-1.997800512
391,-2,-1.997806122
392,-2,-1.997811705
393,-2,-1.997817259
394,-2,-1.997822785
395,-2,-1.997828283
396,-2,-1.997833753
397,-2,-1.997839196
398,-2,-1.997844612
399,-2,-1.99785
400,-2,-1.997855362
401,-2,-1.997860697
402,-2,-1.997866005
403,-2,-1.997871287
404,-2,-1.997876543
405,-2,-1.997881773
406,-2,-1.997886978
407,-2,-1.997892157
408,-1.98,-1.997848411
409,-2,-1.997853659
410,-2,-1.997858881
411,-2,-1.997864078
412,-2,-1.997869249
413,-2,-1.997874396
414,-2,-1.997879518
415,-2,-1.997884615
416,-2,-1.997889688
417,-2,-1.997894737
418,-2,-1.997899761
419,-2,-1.997904762
420,-1.98,-1.997862233
421,-2,-1.997867299
422,-2,-1.99787234
423,-2,-1.997877358
424,-2,-1.997882353
425,-2,-1.997887324
426,-2,-1.997892272
427,-2,-1.997897196
428,-2,-1.997902098
429,-2,-1.997906977
430,-2,-1.997911833
431,-2,-1.997916667
432,-2,-1.997921478
433,-2,-1.997926267
434,-2,-1.997931034
435,-1.98,-1.997889908
436,-1.98,-1.99784897
437,-2,-1.997853881
438,-2,-1.99785877
439,-1.98,-1.997818182
440,-1.98,-1.997777778
441,-1.98,-1.997737557
442,-1.98,-1.997697517
443,-2,-1.997702703
444,-1.98,-1.997662921
445,-2,-1.997668161
446,-2,-1.997673378
447,-2,-1.997678571
448,-2,-1.997683742
449,-2,-1.997688889
450,-2,-1.997694013
451,-2,-1.997699115
452,-2,-1.997704194
453,-2,-1.997709251
454,-2,-1.997714286
455,-2,-1.997719298
456,-2,-1.997724289
457,-2,-1.997729258
458,-2,-1.997734205
459,-2,-1.99773913
460,-2,-1.997744035
461,-2,-1.997748918
462,-2,-1.99775378
463,-2,-1.997758621
464,-2,-1.997763441
465,-2,-1.99776824
466,-2,-1.997773019
467,-2,-1.997777778
468,-2,-1.997782516
469,-2,-1.997787234
470,-2,-1.997791932
471,-2,-1.99779661
472,-2,-1.997801268
473,-1.98,-1.997763713
474,-2,-1.997768421
475,-2,-1.997773109
476,-1.98,-1.997735849
477,-2,-1.997740586
478,-2,-1.997745303
479,-2,-1.99775
480,-2,-1.997754678
481,-2,-1.997759336
482,-2,-1.997763975
483,-1.98,-1.997727273
484,-2,-1.997731959
485,-2,-1.997736626
486,-1.98,-1.997700205
487,-1.96,-1.997622951
488,-1.98,-1.997586912
489,-2,-1.997591837
490,-2,-1.997596741
491,-1.98,-1.997560976
492,-2,-1.997565923
493,-2,-1.99757085
494,-2,-1.997575758
495,-2,-1.997580645
496,-2,-1.997585513
497,-2,-1.997590361
498,-2,-1.99759519
499,-2,-1.9976
500,-2,-1.99760479
501,-2,-1.997609562
502,-2,-1.997614314
503,-2,-1.997619048
504,-2,-1.997623762
505,-2,-1.997628458
506,-2,-1.997633136
507,-2,-1.997637795
508,-2,-1.997642436
509,-2,-1.997647059
510,-2,-1.997651663
511,-2,-1.99765625
512,-2,-1.997660819
513,-1.98,-1.997626459
514,-2,-1.997631068
515,-1.98,-1.997596899
516,-2,-1.997601547
517,-2,-1.997606178
518,-2,-1.99761079
519,-2,-1.997615385
520,-2,-1.997619962
521,-2,-1.997624521
522,-2,-1.997629063
523,-1.98,-1.99759542
524,-1.98,-1.997561905
525,-1.98,-1.997528517
526,-2,-1.997533207
527,-2,-1.997537879
528,-2,-1.997542533
529,-2,-1.99754717
530,-2,-1.997551789
531,-2,-1.997556391
532,-2,-1.997560976
533,-2,-1.997565543
534,-2,-1.997570093
535,-2,-1.997574627
536,-2,-1.997579143
537,-2,-1.997583643
538,-2,-1.997588126
539,-1.98,-1.997555556
540,-1.98,-1.997523105
541,-1.98,-1.997490775
542,-2,-1.997495396
543,-2,-1.9975
544,-2,-1.997504587
545,-2,-1.997509158
546,-2,-1.997513711
547,-2,-1.997518248
548,-2,-1.997522769
549,-2,-1.997527273
550,-1.98,-1.997495463
551,-1.98,-1.997463768
552,-1.98,-1.997432188
553,-1.98,-1.997400722
554,-2,-1.997405405
555,-2,-1.997410072
556,-2,-1.997414722
557,-1.98,-1.997383513
558,-2,-1.997388193
559,-2,-1.997392857
560,-2,-1.997397504
561,-2,-1.997402135
562,-2,-1.99740675
563,-2,-1.997411348
564,-2,-1.997415929
565,-2,-1.997420495
566,-2,-1.997425044
567,-2,-1.997429577
568,-2,-1.997434095
569,-2,-1.997438596
570,-2,-1.997443082
571,-2,-1.997447552
572,-2,-1.997452007
573,-2,-1.997456446
574,-2,-1.99746087
575,-2,-1.997465278
576,-1.98,-1.997435009
577,-1.98,-1.997404844
578,-2,-1.997409326
579,-2,-1.997413793
580,-2,-1.997418244
581,-2,-1.99742268
582,-2,-1.997427101
583,-2,-1.997431507
584,-2,-1.997435897
585,-2,-1.997440273
586,-2,-1.997444634
587,-2,-1.99744898
588,-2,-1.997453311
589,-2,-1.997457627
590,-2,-1.997461929
591,-2,-1.997466216
592,-2,-1.997470489
593,-2,-1.997474747
594,-2,-1.997478992
595,-2,-1.997483221
596,-2,-1.997487437
597,-2,-1.997491639
598,-1.98,-1.997462437
599,-2,-1.997466667
600,-2,-1.997470882
601,-2,-1.997475083
602,-2,-1.99747927
603,-2,-1.997483444
604,-2,-1.997487603
605,-2,-1.997491749
606,-2,-1.997495881
607,-2,-1.9975
608,-1.98,-1.997471264
609,-1.98,-1.997442623
610,-1.98,-1.997414075
611,-2,-1.997418301
612,-1.98,-1.997389886
613,-1.98,-1.997361564
614,-1.98,-1.997333333
615,-1.98,-1.997305195
616,-2,-1.997309562
617,-2,-1.997313916
618,-2,-1.997318255
619,-2,-1.997322581
620,-2,-1.997326892
621,-1.98,-1.997299035
622,-2,-1.997303371
623,-2,-1.997307692
624,-2,-1.997312
625,-2,-1.997316294
626,-2,-1.997320574
627,-2,-1.997324841
628,-2,-1.997329094
629,-2,-1.997333333
630,-2,-1.997337559
631,-2,-1.997341772
632,-2,-1.997345972
633,-2,-1.997350158
634,-2,-1.997354331
635,-2,-1.997358491
636,-2,-1.997362637
637,-2,-1.997366771
638,-2,-1.997370892
639,-2,-1.997375
640,-2,-1.997379095
641,-2,-1.997383178
642,-1.98,-1.997356143
643,-1.98,-1.997329193
644,-2,-1.997333333
645,-2,-1.997337461
646,-2,-1.997341577
647,-2,-1.997345679
648,-2,-1.997349769
649,-2,-1.997353846
650,-2,-1.997357911
651,-2,-1.997361963
652,-2,-1.997366003
653,-2,-1.997370031
654,-2,-1.997374046
655,-2,-1.997378049
656,-2,-1.99738204
657,-2,-1.997386018
658,-2,-1.997389985
659,-2,-1.997393939
660,-2,-1.997397882
661,-2,-1.997401813
662,-1.98,-1.997375566
663,-1.98,-1.997349398
664,-2,-1.997353383
665,-2,-1.997357357
666,-2,-1.997361319
667,-2,-1.997365269
668,-2,-1.997369208
669,-2,-1.997373134
670,-2,-1.997377049
671,-2,-1.997380952
672,-2,-1.997384844
673,-2,-1.997388724
674,-2,-1.997392593
675,-2,-1.99739645
676,-2,-1.997400295
677,-1.98,-1.997374631
678,-2,-1.997378498
679,-2,-1.997382353
680,-2,-1.997386197
681,-2,-1.997390029
682,-2,-1.997393851
683,-2,-1.997397661
684,-2,-1.99740146
685,-1.98,-1.997376093
686,-2,-1.997379913
687,-2,-1.997383721
688,-2,-1.997387518
689,-2,-1.997391304
690,-2,-1.99739508
691,-2,-1.997398844
692,-2,-1.997402597
693,-2,-1.99740634
694,-2,-1.997410072
695,-2,-1.997413793
696,-2,-1.997417504
697,-2,-1.997421203
698,-1.98,-1.99739628
699,-2,-1.9974
700,-2,-1.997403709
701,-2,-1.997407407
702,-2,-1.997411095
703,-2,-1.997414773
704,-2,-1.99741844
705,-2,-1.997422096
706,-2,-1.997425743
707,-2,-1.997429379
708,-2,-1.997433004
709,-2,-1.99743662
710,-2,-1.997440225
711,-2,-1.99744382
712,-2,-1.997447405
713,-2,-1.99745098
714,-2,-1.997454545
715,-2,-1.997458101
716,-2,-1.997461646
717,-2,-1.997465181
718,-2,-1.997468707
719,-2,-1.997472222
720,-2,-1.997475728
721,-2,-1.997479224
722,-2,-1.997482711
723,-2,-1.997486188
724,-2,-1.997489655
725,-2,-1.997493113
726,-2,-1.997496561
727,-2,-1.9975
728,-2,-1.997503429
729,-2,-1.997506849
730,-2,-1.99751026
731,-2,-1.997513661
732,-2,-1.997517053
733,-2,-1.997520436
734,-2,-1.99752381
735,-2,-1.997527174
736,-2,-1.997530529
737,-2,-1.997533875
738,-2,-1.997537212
739,-2,-1.997540541
740,-2,-1.99754386
741,-2,-1.99754717
742,-1.98,-1.997523553
743,-2,-1.997526882
744,-2,-1.997530201
745,-2,-1.997533512
746,-2,-1.997536814
747,-2,-1.997540107
748,-2,-1.997543391
749,-2,-1.997546667
750,-2,-1.997549933
751,-2,-1.997553191
752,-2,-1.997556441
753,-2,-1.997559682
754,-2,-1.997562914
755,-2,-1.997566138
756,-2,-1.997569353
757,-2,-1.997572559
758,-2,-1.997575758
759,-2,-1.997578947
760,-1.96,-1.997529566
761,-2,-1.997532808
762,-1.98,-1.99750983
763,-2,-1.997513089
764,-2,-1.99751634
765,-2,-1.997519582
766,-2,-1.997522816
767,-1.98,-1.9975
768,-2,-1.997503251
769,-2,-1.997506494
770,-2,-1.997509728
771,-2,-1.997512953
772,-2,-1.997516171
773,-2,-1.99751938
774,-2,-1.997522581
775,-2,-1.997525773
776,-1.98,-1.997503218
777,-1.98,-1.99748072
778,-2,-1.997483954
779,-2,-1.997487179
780,-2,-1.997490397
781,-2,-1.997493606
782,-2,-1.997496807
783,-2,-1.9975
784,-2,-1.997503185
785,-2,-1.997506361
786,-2,-1.99750953
787,-2,-1.99751269
788,-2,-1.997515843
789,-2,-1.997518987
790,-2,-1.997522124
791,-2,-1.997525253
792,-2,-1.997528373
793,-2,-1.997531486
794,-2,-1.997534591
795,-2,-1.997537688
796,-2,-1.997540778
797,-2,-1.99754386
798,-2,-1.997546934
799,-2,-1.99755
800,-2,-1.997553059
801,-2,-1.99755611
802,-2,-1.997559153
803,-2,-1.997562189
804,-1.98,-1.997540373
805,-1.98,-1.99751861
806,-2,-1.997521685
807,-1.98,-1.9975
808,-2,-1.99750309
809,-2,-1.997506173
810,-2,-1.997509248
811,-2,-1.997512315
812,-2,-1.997515375
813,-2,-1.997518428
814,-1.98,-1.997496933
815,-2,-1.9975
816,-2,-1.99750306
817,-2,-1.997506112
818,-2,-1.997509158
819,-2,-1.997512195
820,-2,-1.997515225
821,-2,-1.997518248
822,-2,-1.997521264
823,-2,-1.997524272
824,-1.98,-1.99750303
825,-1.96,-1.997457627
826,-2,-1.997460701
827,-1.98,-1.997439614
828,-1.97,-1.997406514
829,-1.98,-1.997385542
830,-1.98,-1.997364621
831,-1.98,-1.99734375
832,-1.96,-1.99729892
833,-1.98,-1.997278177
834,-2,-1.997281437
835,-2,-1.997284689
836,-2,-1.997287933
837,-2,-1.997291169
838,-2,-1.997294398
839,-2,-1.997297619
840,-2,-1.997300832
841,-2,-1.997304038
842,-2,-1.997307236
843,-2,-1.997310427
844,-2,-1.997313609
845,-2,-1.997316785
846,-2,-1.997319953
847,-2,-1.997323113
848,-2,-1.997326266
849,-2,-1.997329412
850,-2,-1.99733255
851,-1.98,-1.997312207
852,-1.98,-1.997291911
853,-1.98,-1.997271663
854,-2,-1.997274854
855,-1.98,-1.997254673
856,-1.96,-1.997211202
857,-1.98,-1.997191142
858,-2,-1.997194412
859,-2,-1.997197674
860,-2,-1.997200929
861,-2,-1.997204176
862,-2,-1.997207416
863,-2,-1.997210648
864,-2,-1.997213873
865,-2,-1.99721709
866,-2,-1.9972203
867,-2,-1.997223502
868,-1.98,-1.997203682
869,-2,-1.997206897
870,-2,-1.997210103
871,-2,-1.997213303
872,-2,-1.997216495
873,-2,-1.99721968
874,-2,-1.997222857
875,-2,-1.997226027
876,-1.98,-1.997206385
877,-2,-1.997209567
878,-2,-1.997212742
879,-2,-1.997215909
880,-2,-1.997219069
881,-2,-1.997222222
882,-2,-1.997225368
883,-2,-1.997228507
884,-2,-1.997231638
885,-2,-1.997234763
886,-2,-1.99723788
887,-1.98,-1.997218468
888,-2,-1.997221597
889,-2,-1.997224719
890,-2,-1.997227834
891,-2,-1.997230942
892,-2,-1.997234043
893,-2,-1.997237136
894,-2,-1.997240223
895,-2,-1.997243304
896,-2,-1.997246377
897,-2,-1.997249443
898,-2,-1.997252503
899,-1.98,-1.997233333
900,-2,-1.997236404
901,-2,-1.997239468
902,-2,-1.997242525
903,-2,-1.997245575
904,-2,-1.997248619
905,-2,-1.997251656
906,-2,-1.997254686
907,-2,-1.997257709
908,-1.98,-1.997238724
909,-2,-1.997241758
910,-2,-1.997244786
911,-2,-1.997247807
912,-2,-1.997250821
913,-1.98,-1.997231947
914,-2,-1.997234973
915,-2,-1.997237991
916,-2,-1.997241003
917,-2,-1.997244009
918,-2,-1.997247008
919,-2,-1.99725
920,-2,-1.997252986
921,-2,-1.997255965
922,-1.98,-1.99723727
923,-1.98,-1.997218615
924,-1.98,-1.9972
925,-2,-1.997203024
926,-2,-1.997206041
927,-2,-1.997209052
928,-2,-1.997212056
929,-2,-1.997215054
930,-1.98,-1.997196563
931,-2,-1.997199571
932,-2,-1.997202572
933,-2,-1.997205567
934,-2,-1.997208556
935,-2,-1.997211538
936,-2,-1.997214514
937,-2,-1.997217484
938,-2,-1.997220447
939,-2,-1.997223404
940,-2,-1.997226355
941,-2,-1.997229299
942,-2,-1.997232238
943,-2,-1.997235169
944,-2,-1.997238095
945,-2,-1.997241015
946,-2,-1.997243928
947,-2,-1.997246835
948,-1.98,-1.997228662
949,-1.98,-1.997210526
950,-2,-1.99721346
951,-2,-1.997216387
952,-2,-1.997219307
953,-2,-1.997222222
954,-2,-1.997225131
955,-2,-1.997228033
956,-2,-1.99723093
957,-2,-1.99723382
958,-2,-1.997236705
959,-2,-1.997239583
960,-2,-1.997242456
961,-2,-1.997245322
962,-2,-1.997248183
963,-2,-1.997251037
964,-2,-1.997253886
965,-2,-1.997256729
966,-2,-1.997259566
967,-2,-1.997262397
968,-2,-1.997265222
969,-2,-1.997268041
970,-2,-1.997270855
971,-2,-1.997273663
972,-2,-1.997276465
973,-2,-1.997279261
974,-2,-1.997282051
975,-2,-1.997284836
976,-2,-1.997287615
977,-2,-1.997290389
978,-2,-1.997293156
979,-2,-1.997295918
980,-2,-1.997298675
981,-2,-1.997301426
982,-2,-1.997304171
983,-2,-1.997306911
984,-1.98,-1.99728934
985,-2,-1.997292089
986,-2,-1.997294833
987,-2,-1.997297571
988,-1.98,-1.997280081
989,-1.98,-1.997262626
990,-2,-1.997265388
991,-2,-1.997268145
992,-2,-1.997270896
993,-2,-1.997273642
994,-2,-1.997276382
995,-2,-1.997279116
996,-2,-1.997281846
997,-2,-1.997284569
998,-2,-1.997287287
999,-2,-1.99729
1000,-2,-1.997292707
1001,-2,-1.997295409
1002,-2,-1.997298106
1003,-2,-1.997300797
1004,-2,-1.997303483
1005,-2,-1.997306163
1006,-2,-1.997308838
1007,-2,-1.997311508
1008,-2,-1.997314172
1009,-2,-1.997316832
1010,-2,-1.997319486
1011,-1.98,-1.997302372
1012,-1.98,-1.997285291
1013,-2,-1.997287968
1014,-2,-1.99729064
1015,-2,-1.997293307
1016,-2,-1.997295969
1017,-2,-1.997298625
1018,-2,-1.997301276
1019,-2,-1.997303922
1020,-1.98,-1.997286974
1021,-2,-1.997289628
1022,-2,-1.997292278
1023,-2,-1.997294922
1024,-2,-1.997297561
1025,-2,-1.997300195
1026,-2,-1.997302824
1027,-2,-1.997305447
1028,-2,-1.997308066
1029,-2,-1.99731068
1030,-2,-1.997313288
1031,-2,-1.997315891
1032,-2,-1.99731849
1033,-2,-1.997321083
1034,-2,-1.997323671
1035,-2,-1.997326255
1036,-2,-1.997328833
1037,-2,-1.997331407
1038,-2,-1.997333975
1039,-2,-1.997336538
1040,-2,-1.997339097
1041,-2,-1.997341651
1042,-2,-1.997344199
1043,-2,-1.997346743
1044,-2,-1.997349282
1045,-2,-1.997351816
1046,-1.98,-1.997335244
1047,-2,-1.997337786
1048,-2,-1.997340324
1049,-2,-1.997342857
1050,-2,-1.997345385
1051,-2,-1.997347909
1052,-2,-1.997350427
1053,-2,-1.997352941
1054,-2,-1.99735545
1055,-2,-1.997357955
1056,-2,-1.997360454
1057,-2,-1.997362949
1058,-2,-1.997365439
1059,-2,-1.997367925
1060,-2,-1.997370405
1061,-2,-1.997372881
1062,-2,-1.997375353
1063,-2,-1.99737782
1064,-2,-1.997380282
1065,-2,-1.997382739
1066,-2,-1.997385192
1067,-2,-1.99738764
1068,-2,-1.997390084
1069,-2,-1.997392523
1070,-2,-1.997394958
1071,-2,-1.997397388
1072,-2,-1.997399814
1073,-2,-1.997402235
1074,-2,-1.997404651
1075,-2,-1.997407063
1076,-2,-1.997409471
1077,-2,-1.997411874
1078,-2,-1.997414272
1079,-2,-1.997416667
1080,-2,-1.997419056
1081,-2,-1.997421442
1082,-2,-1.997423823
1083,-2,-1.997426199
1084,-2,-1.997428571
1085,-2,-1.997430939
1086,-1.98,-1.997414903
1087,-1.98,-1.997398897
1088,-2,-1.997401286
1089,-2,-1.99740367
1090,-2,-1.997406049
1091,-2,-1.997408425
1092,-2,-1.997410796
1093,-1.98,-1.997394881
1094,-1.98,-1.997378995
1095,-2,-1.997381387
1096,-1.98,-1.997365542
1097,-2,-1.997367942
1098,-2,-1.997370337
1099,-2,-1.997372727
1100,-2,-1.997375114
1101,-2,-1.997377495
1102,-2,-1.997379873
1103,-2,-1.997382246
1104,-2,-1.997384615
1105,-2,-1.99738698
1106,-2,-1.997389341
1107,-2,-1.997391697
1108,-2,-1.997394049
1109,-2,-1.997396396
1110,-2,-1.99739874
1111,-2,-1.997401079
1112,-2,-1.997403414
1113,-2,-1.997405745
1114,-1.98,-1.997390135
1115,-1.98,-1.997374552
1116,-1.98,-1.997358997
1117,-2,-1.99736136
1118,-2,-1.997363718
1119,-2,-1.997366071
1120,-2,-1.997368421
1121,-2,-1.997370766
1122,-2,-1.997373108
1123,-2,-1.997375445
1124,-2,-1.997377778
1125,-2,-1.997380107
1126,-2,-1.997382431
1127,-2,-1.997384752
1128,-2,-1.997387068
1129,-2,-1.997389381
1130,-2,-1.997391689
1131,-2,-1.997393993
1132,-2,-1.997396293
1133,-1.98,-1.997380952
1134,-2,-1.99738326
1135,-2,-1.997385563
1136,-2,-1.997387863
1137,-2,-1.997390158
1138,-2,-1.99739245
1139,-2,-1.997394737
1140,-1.98,-1.997379492
