cycle,instant_energy,cumulative_energy
0,-2,-2
1,-1.73,-1.865
2,-1.54,-1.756666667
3,-1.63,-1.725
4,-1.58,-1.696
5,-1.55,-1.671666667
6,-1.53,-1.651428571
7,-1.54,-1.6375
8,-1.53,-1.625555556
9,-1.67,-1.63
10,-1.61,-1.628181818
11,-1.48,-1.615833333
12,-1.41,-1.6
13,-1.48,-1.591428571
14,-1.35,-1.575333333
15,-1.48,-1.569375
16,-1.41,-1.56
17,-1.45,-1.553888889
18,-1.35,-1.543157895
19,-1.38,-1.535
20,-1.57,-1.536666667
21,-1.58,-1.538636364
22,-1.48,-1.536086957
23,-1.34,-1.527916667
24,-1.29,-1.5184
25,-1.17,-1.505
26,-1.23,-1.494814815
27,-1.24,-1.485714286
28,-1.28,-1.47862069
29,-1.22,-1.47
30,-1.3,-1.464516129
31,-1.24,-1.4575
32,-1.27,-1.451818182
33,-1.28,-1.446764706
34,-1.23,-1.440571429
35,-1.19,-1.433611111
36,-1.31,-1.43027027
37,-1.33,-1.427631579
38,-1.29,-1.424102564
39,-1.31,-1.42125
40,-1.32,-1.418780488
41,-1.4,-1.418333333
42,-1.35,-1.416744186
43,-1.25,-1.412954545
44,-1.27,-1.409777778
45,-1.26,-1.406521739
46,-1.37,-1.405744681
47,-1.26,-1.402708333
48,-1.2,-1.398571429
49,-1.15,-1.3936
50,-1.25,-1.390784314
51,-1.32,-1.389423077
52,-1.31,-1.387924528
53,-1.24,-1.385185185
54,-1.38,-1.385090909
55,-1.35,-1.384464286
56,-1.43,-1.385263158
57,-1.35,-1.384655172
58,-1.28,-1.382881356
59,-1.28,-1.381166667
60,-1.15,-1.377377049
61,-1.22,-1.37483871
62,-1.24,-1.372698413
63,-1.18,-1.3696875
64,-1.3,-1.368615385
65,-1.24,-1.366666667
66,-1.13,-1.363134328
67,-1.04,-1.358382353
68,-1.07,-1.354202899
69,-1,-1.349142857
70,-1.15,-1.346338028
71,-1.08,-1.342638889
72,-1.12,-1.339589041
73,-1.3,-1.339054054
74,-1.42,-1.340133333
75,-1.48,-1.341973684
76,-1.42,-1.342987013
77,-1.35,-1.343076923
78,-1.3,-1.342531646
79,-1.25,-1.341375
80,-1.36,-1.341604938
81,-1.39,-1.342195122
82,-1.26,-1.341204819
83,-1.3,-1.340714286
84,-1.4,-1.341411765
85,-1.26,-1.340465116
86,-1.26,-1.33954023
87,-1.25,-1.338522727
88,-1.3,-1.338089888
89,-1.27,-1.337333333
90,-1.09,-1.334615385
91,-1.2,-1.333152174
92,-1.3,-1.332795699
93,-1.33,-1.332765957
94,-1.48,-1.334315789
95,-1.34,-1.334375
96,-1.26,-1.333608247
97,-1.29,-1.333163265
98,-1.25,-1.332323232
99,-1.34,-1.3324
100,-1.23,-1.331386139
101,-1.15,-1.329607843
102,-1.14,-1.32776699
103,-1.15,-1.326057692
104,-1.08,-1.323714286
105,-1.14,-1.321981132
106,-1.04,-1.319345794
107,-1.08,-1.31712963
108,-1.23,-1.316330275
109,-1.16,-1.314909091
110,-1.22,-1.314054054
111,-1.17,-1.312767857
112,-1.06,-1.310530973
113,-1.22,-1.309736842
114,-1.24,-1.309130435
115,-1.19,-1.308103448
116,-1.18,-1.307008547
117,-1.14,-1.30559322
118,-1.13,-1.304117647
119,-1.1,-1.302416667
120,-1.03,-1.300165289
121,-1.06,-1.298196721
122,-1.13,-1.296829268
123,-1.14,-1.295564516
124,-1.1,-1.294
125,-1.07,-1.292222222
126,-1.1,-1.290708661
127,-1.12,-1.289375
128,-1.19,-1.288604651
129,-1.06,-1.286846154
130,-1.04,-1.284961832
131,-1.13,-1.283787879
132,-1.08,-1.282255639
133,-1.12,-1.281044776
134,-0.98,-1.278814815
135,-1.01,-1.276838235
136,-1.03,-1.275036496
137,-0.95,-1.272681159
138,-1.11,-1.271510791
139,-1.22,-1.271142857
140,-1.19,-1.270567376
141,-1.05,-1.269014085
142,-1.17,-1.268321678
143,-1.01,-1.266527778
144,-1.03,-1.264896552
145,-1.12,-1.26390411
146,-1.1,-1.262789116
147,-1.05,-1.261351351
148,-1.15,-1.260604027
149,-1.15,-1.259866667
150,-1.13,-1.259006623
151,-1.18,-1.258486842
152,-0.9,-1.256143791
153,-0.97,-1.254285714
154,-0.81,-1.251419355
155,-0.92,-1.249294872
156,-1.02,-1.247834395
157,-1.11,-1.246962025
158,-1.07,-1.245849057
