L,T,epsilon,m_abs,Cv,chi,sample
40,2.11,-1.6533905,0.86436705,0.0006081324567,0.0006389425204,4
40,2.11,-1.6533905,0.86436705,0.0006081324567,0.0006389425204,2
40,2.11,-1.6533905,0.86436705,0.0006081324567,0.0006389425204,0
40,2.11,-1.6533905,0.86436705,0.0006081324567,0.0006389425204,3
40,2.1,-1.66327035,0.870332425,0.0005926321002,0.0005348114851,2
40,2.1,-1.66327035,0.870332425,0.0005926321002,0.0005348114851,3
40,2.1,-1.66327035,0.870332425,0.0005926321002,0.0005348114851,0
40,2.11,-1.6533905,0.86436705,0.0006081324567,0.0006389425204,1
40,2.1,-1.66327035,0.870332425,0.0005926321002,0.0005348114851,4
40,2.1,-1.66327035,0.870332425,0.0005926321002,0.0005348114851,1
40,2.12,-1.643021375,0.8584493,0.0006229487765,0.0006470224285,0
40,2.12,-1.643021375,0.8584493,0.0006229487765,0.0006470224285,1
40,2.12,-1.643021375,0.8584493,0.0006229487765,0.0006470224285,2
40,2.12,-1.643021375,0.8584493,0.0006229487765,0.0006470224285,4
40,2.12,-1.643021375,0.8584493,0.0006229487765,0.0006470224285,3
40,2.13,-1.631347775,0.8496565875,0.0006633210322,0.0009243975891,0
40,2.13,-1.631347775,0.8496565875,0.0006633210322,0.0009243975891,2
40,2.13,-1.631347775,0.8496565875,0.0006633210322,0.0009243975891,3
40,2.13,-1.631347775,0.8496565875,0.0006633210322,0.0009243975891,1
40,2.13,-1.631347775,0.8496565875,0.0006633210322,0.0009243975891,4
40,2.14,-1.62074615,0.8433694,0.0006865634304,0.0009090223949,1
40,2.14,-1.62074615,0.8433694,0.0006865634304,0.0009090223949,0
40,2.14,-1.62074615,0.8433694,0.0006865634304,0.0009090223949,3
40,2.14,-1.62074615,0.8433694,0.0006865634304,0.0009090223949,2
40,2.14,-1.62074615,0.8433694,0.0006865634304,0.0009090223949,4
40,2.15,-1.609142925,0.8347205,0.0007261500239,0.001181004043,2
40,2.15,-1.609142925,0.8347205,0.0007261500239,0.001181004043,1
40,2.15,-1.609142925,0.8347205,0.0007261500239,0.001181004043,0
40,2.15,-1.609142925,0.8347205,0.0007261500239,0.001181004043,3
40,2.15,-1.609142925,0.8347205,0.0007261500239,0.001181004043,4
40,2.16,-1.597781375,0.8273644,0.0007438451145,0.001289228944,0
40,2.16,-1.597781375,0.8273644,0.0007438451145,0.001289228944,1
40,2.16,-1.597781375,0.8273644,0.0007438451145,0.001289228944,4
40,2.16,-1.597781375,0.8273644,0.0007438451145,0.001289228944,2
40,2.16,-1.597781375,0.8273644,0.0007438451145,0.001289228944,3
40,2.17,-1.585015875,0.8171520125,0.0007705634141,0.001541685217,1
40,2.17,-1.585015875,0.8171520125,0.0007705634141,0.001541685217,0
40,2.17,-1.585015875,0.8171520125,0.0007705634141,0.001541685217,2
40,2.17,-1.585015875,0.8171520125,0.0007705634141,0.001541685217,3
40,2.17,-1.585015875,0.8171520125,0.0007705634141,0.001541685217,4
