sample,energy_per_spin
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.97
0,-1.97
0,-1.98
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.97
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-1.96
0,-1.98
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.97
0,-1.98
0,-2
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-1.98
0,-1.98
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
