t,x,y,z
2.0125,29.0028,-10.2908,19.9999
2.025,28.6937,-10.2446,19.9999
2.0375,28.3862,-10.1891,19.9999
2.05,28.0805,-10.1244,19.9999
2.0625,27.7769,-10.0506,19.9999
2.075,27.4756,-9.96759,19.9999
2.0875,27.1769,-9.87558,19.9999
2.1,26.8812,-9.77463,19.9999
2.1125,26.5887,-9.66483,19.9999
2.125,26.2995,-9.54627,19.9999
2.1375,26.0141,-9.41907,19.9999
2.15,25.7326,-9.28333,19.9999
2.1625,25.4554,-9.13919,19.9999
2.175,25.1826,-8.98676,19.9999
2.1875,24.9145,-8.8262,19.9999
2.2,24.6514,-8.65764,19.9999
2.2125,24.3934,-8.48124,19.9999
2.225,24.1409,-8.29716,19.9999
2.2375,23.8941,-8.10556,19.9999
2.25,23.6531,-7.90662,19.9999
2.2625,23.4182,-7.70052,19.9999
2.275,23.1896,-7.48744,19.9999
2.2875,22.9676,-7.26758,19.9999
2.3,22.7522,-7.04114,19.9999
2.3125,22.5438,-6.80832,19.9999
2.325,22.3425,-6.56934,19.9999
2.3375,22.1484,-6.3244,19.9999
2.35,21.9618,-6.07374,19.9999
2.3625,21.7828,-5.81757,19.9999
2.375,21.6117,-5.55613,19.9999
2.3875,21.4484,-5.28966,19.9999
2.4,21.2933,-5.0184,19.9999
2.4125,21.1464,-4.7426,19.9999
2.425,21.0079,-4.4625,19.9999
2.4375,20.8778,-4.17835,19.9999
2.45,20.7564,-3.89042,19.9999
2.4625,20.6437,-3.59897,19.9999
2.475,20.5398,-3.30426,19.9999
2.4875,20.4448,-3.00655,19.9999
2.5,20.3588,-2.70612,19.9999
2.5125,20.282,-2.40325,19.9999
2.525,20.2142,-2.09819,19.9999
2.5375,20.1557,-1.79123,19.9999
2.55,20.1064,-1.48265,19.9999
2.5625,20.0664,-1.17273,19.9999
2.575,20.0358,-0.861745,19.9999
2.5875,20.0146,-0.54998,19.9999
2.6,20.0027,-0.237717,19.9999
2.6125,20.0003,0.0747619,19.9999
2.625,20.0072,0.387173,19.9999
2.6375,20.0236,0.699233,19.9999
2.65,20.0493,1.01066,19.9999
2.6625,20.0844,1.32117,19.9999
2.675,20.1288,1.63049,19.9999
2.6875,20.1825,1.93832,19.9999
2.7,20.2455,2.2444,19.9999
2.7125,20.3176,2.54845,19.9999
2.725,20.3989,2.85019,19.9999
2.7375,20.4892,3.14935,19.9999
2.75,20.5884,3.44566,19.9999
2.7625,20.6965,3.73884,19.9999
2.775,20.8134,4.02864,19.9999
2.7875,20.939,4.31479,19.9999
2.8,21.0731,4.59703,19.9998
2.8125,21.2157,4.87511,19.9998
2.825,21.3666,5.14877,19.9998
2.8375,21.5256,5.41777,19.9998
2.85,21.6926,5.68186,19.9998
2.8625,21.8676,5.9408,19.9998
2.875,22.0502,6.19436,19.9998
2.8875,22.2404,6.44231,19.9998
2.9,22.4379,6.68443,19.9998
2.9125,22.6427,6.92049,19.9998
2.925,22.8544,7.15028,19.9998
2.9375,23.073,7.3736,19.9998
2.95,23.2982,7.59023,19.9998
2.9625,23.5299,7.79999,19.9998
2.975,23.7677,8.00269,19.9998
2.9875,24.0115,8.19814,19.9998
3,24.2611,8.38616,19.9998
3.0125,24.5162,8.56659,19.9998
3.025,24.7767,8.73925,19.9998
3.0375,25.0422,8.904,19.9998
3.05,25.3126,9.06069,19.9998
3.0625,25.5876,9.20916,19.9998
3.075,25.8669,9.3493,19.9998
3.0875,26.1503,9.48097,19.9998
3.1,26.4375,9.60404,19.9998
3.1125,26.7283,9.71842,19.9998
3.125,27.0224,9.824,19.9998
3.1375,27.3196,9.92068,19.9998
3.15,27.6195,10.0084,19.9998
3.1625,27.9219,10.087,19.9998
3.175,28.2266,10.1565,19.9998
3.1875,28.5332,10.2168,19.9998
3.2,28.8415,10.2678,19.9998
3.2125,29.1512,10.3096,19.9998
3.225,29.462,10.3419,19.9998
3.2375,29.7736,10.365,19.9998
3.25,30.0858,10.3786,19.9998
3.2625,30.3983,10.3829,19.9998
3.275,30.7107,10.3777,19.9998
3.2875,31.0229,10.3631,19.9998
3.3,31.3344,10.3392,19.9998
3.3125,31.6451,10.3059,19.9998
3.325,31.9547,10.2632,19.9998
3.3375,32.2629,10.2113,19.9998
3.35,32.5693,10.1501,19.9998
3.3625,32.8737,10.0797,19.9998
3.375,33.1759,10.0001,19.9998
3.3875,33.4756,9.91157,19.9998
3.4,33.7725,9.81401,19.9998
3.4125,34.0663,9.70756,19.9998
3.425,34.3567,9.59232,19.9998
3.4375,34.6436,9.46839,19.9998
3.45,34.9266,9.33588,19.9998
3.4625,35.2055,9.19492,19.9998
3.475,35.48,9.04563,19.9998
3.4875,35.7499,8.88815,19.9998
3.5,36.015,8.72261,19.9998
3.5125,36.2749,8.54918,19.9998
3.525,36.5295,8.368,19.9998
3.5375,36.7785,8.17924,19.9998
3.55,37.0218,7.98307,19.9998
3.5625,37.259,7.77967,19.9998
3.575,37.49,7.56922,19.9998
3.5875,37.7146,7.35192,19.9998
3.6,37.9325,7.12796,19.9998
3.6125,38.1436,6.89754,19.9997
3.625,38.3476,6.66087,19.9997
3.6375,38.5445,6.41817,19.9997
3.65,38.7339,6.16966,19.9997
3.6625,38.9158,5.91556,19.9997
3.675,39.09,5.6561,19.9997
3.6875,39.2562,5.39151,19.9997
3.7,39.4145,5.12205,19.9997
3.7125,39.5645,4.84794,19.9997
3.725,39.7062,4.56944,19.9997
3.7375,39.8395,4.2868,19.9997
3.75,39.9643,4.00028,19.9997
3.7625,40.0803,3.71014,19.9997
3.775,40.1876,3.41664,19.9997
3.7875,40.2859,3.12004,19.9997
3.8,40.3753,2.82061,19.9997
3.8125,40.4557,2.51863,19.9997
3.825,40.5269,2.21437,19.9997
3.8375,40.589,1.90811,19.9997
3.85,40.6418,1.60011,19.9997
3.8625,40.6853,1.29066,19.9997
3.875,40.7195,0.980051,19.9997
3.8875,40.7443,0.668549,19.9997
3.9,40.7597,0.356441,19.9997
3.9125,40.7657,0.044011,19.9997
3.925,40.7623,-0.268459,19.9997
3.9375,40.7496,-0.580686,19.9997
3.95,40.7274,-0.892388,19.9997
3.9625,40.6959,-1.20328,19.9997
3.975,40.655,-1.51308,19.9997
3.9875,40.6048,-1.82152,19.9997
4,40.5454,-2.1283,19.9997
4.0125,40.4767,-2.43315,19.9997
4.025,40.3989,-2.7358,19.9997
4.0375,40.3121,-3.03598,19.9997
4.05,40.2162,-3.3334,19.9997
4.0625,40.1114,-3.6278,19.9997
4.075,39.9979,-3.91892,19.9997
4.0875,39.8756,-4.20649,19.9997
4.1,39.7447,-4.49025,19.9997
4.1125,39.6053,-4.76994,19.9997
