w_V,particles_remaining
0.2,84
0.25,83
0.3,87
0.35,86
0.4,82
0.45,0
0.5,86
0.55,73
0.6,49
0.65,0
0.7,0
0.75,85
0.8,94
0.85,90
0.9,87
0.95,87
1,88
1.05,84
1.1,36
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,71
1.7,80
1.75,88
1.8,85
1.85,90
1.9,86
1.95,89
2,90
2.05,55
2.1,1
2.15,0
2.2,0
2.25,0
2.3,66
2.35,91
2.4,91
2.45,91
2.5,91
