t,x1,y1,z1,x2,y2,z2
1.025,37.5697,5.976,20.7863,55.5244,35.8617,4.34339
1.0375,37.7371,5.72964,20.8033,55.8542,35.4655,4.38903
1.05,37.8969,5.47808,20.8204,56.172,35.0598,4.43451
1.0625,38.0488,5.22155,20.8376,56.4777,34.6449,4.47983
1.075,38.1928,4.96028,20.855,56.7709,34.2214,4.525
1.0875,38.3287,4.69452,20.8726,57.0515,33.7895,4.57002
1.1,38.4563,4.42451,20.8903,57.3191,33.3496,4.61487
1.1125,38.5756,4.1505,20.9082,57.5735,32.9022,4.65957
1.125,38.6864,3.87275,20.9263,57.8146,32.4475,4.70411
1.1375,38.7886,3.59151,20.9445,58.042,31.9862,4.74849
1.15,38.882,3.30705,20.9628,58.2556,31.5184,4.79271
1.1625,38.9667,3.01963,20.9813,58.4553,31.0447,4.83677
1.175,39.0425,2.72951,21,58.6408,30.5655,4.88067
1.1875,39.1093,2.43696,21.0189,58.812,30.0812,4.9244
1.2,39.1671,2.14225,21.0379,58.9688,29.5923,4.96798
1.2125,39.2158,1.84566,21.057,59.111,29.0991,5.01139
1.225,39.2554,1.54746,21.0764,59.2385,28.6022,5.05463
1.2375,39.2857,1.24792,21.0959,59.3512,28.1019,5.09771
1.25,39.3068,0.947331,21.1155,59.449,27.5988,5.14062
1.2625,39.3186,0.645961,21.1354,59.5318,27.0932,5.18336
1.275,39.3212,0.34409,21.1554,59.5996,26.5856,5.22593
1.2875,39.3144,0.0419997,21.1756,59.6523,26.0765,5.26833
1.3,39.2983,-0.260032,21.1959,59.6899,25.5663,5.31055
1.3125,39.2729,-0.561724,21.2164,59.7124,25.0555,5.3526
1.325,39.2382,-0.862799,21.2371,59.7197,24.5446,5.39448
1.3375,39.1942,-1.16298,21.258,59.7119,24.0339,5.43617
1.35,39.141,-1.46198,21.2791,59.6889,23.524,5.47769
1.3625,39.0786,-1.75953,21.3003,59.6508,23.0153,5.51902
1.375,39.007,-2.05535,21.3217,59.5977,22.5082,5.56017
1.3875,38.9263,-2.34917,21.3433,59.5297,22.0033,5.60114
1.4,38.8365,-2.64071,21.3651,59.4466,21.501,5.64192
1.4125,38.7378,-2.92971,21.3871,59.3488,21.0016,5.6825
1.425,38.6301,-3.2159,21.4092,59.2363,20.5057,5.7229
1.4375,38.5136,-3.49901,21.4316,59.1091,20.0137,5.7631
1.45,38.3884,-3.77877,21.4542,58.9674,19.5261,5.80311
1.4625,38.2546,-4.05494,21.4769,58.8114,19.0432,5.84292
1.475,38.1122,-4.32724,21.4999,58.6413,18.5656,5.88252
1.4875,37.9615,-4.59544,21.523,58.457,18.0936,5.92192
1.5,37.8024,-4.85927,21.5464,58.259,17.6276,5.96112
1.5125,37.6352,-5.1185,21.57,58.0473,17.1681,6.00011
1.525,37.4601,-5.37288,21.5937,57.8221,16.7155,6.03888
1.5375,37.277,-5.62217,21.6177,57.5837,16.2701,6.07744
1.55,37.0862,-5.86614,21.6419,57.3323,15.8325,6.11578
1.5625,36.8879,-6.10457,21.6664,57.0682,15.4029,6.1539
