t,fe_error,rk4_error
0,0,0
0.00625,4.53755e-05,2.24414e-12
0.0125,9.07452e-05,4.48772e-12
0.01875,0.000136098,6.73015e-12
0.025,0.000181424,8.97088e-12
0.03125,0.000226712,1.12093e-11
0.0375,0.000271952,1.3445e-11
0.04375,0.000317133,1.56772e-11
0.05,0.000362244,1.79055e-11
0.05625,0.000407276,2.01294e-11
0.0625,0.000452218,2.23482e-11
0.06875,0.000497061,2.45614e-11
0.075,0.000541794,2.67686e-11
0.08125,0.000586409,2.89693e-11
0.0875,0.000630894,3.11628e-11
0.09375,0.000675242,3.33488e-11
0.1,0.000719444,3.55267e-11
0.10625,0.000763489,3.76962e-11
0.1125,0.000807371,3.98566e-11
0.11875,0.00085108,4.20077e-11
0.125,0.000894609,4.41488e-11
0.13125,0.00093795,4.62798e-11
0.1375,0.000981095,4.84001e-11
0.14375,0.00102404,5.05093e-11
0.15,0.00106677,5.26072e-11
0.15625,0.00110929,5.46933e-11
0.1625,0.00115158,5.67672e-11
0.16875,0.00119365,5.88288e-11
0.175,0.00123548,6.08777e-11
0.18125,0.00127707,6.29135e-11
0.1875,0.00131841,6.49361e-11
0.19375,0.00135951,6.69451e-11
0.2,0.00140035,6.89404e-11
0.20625,0.00144094,7.09215e-11
0.2125,0.00148126,7.28886e-11
0.21875,0.00152132,7.48411e-11
0.225,0.00156111,7.67791e-11
0.23125,0.00160062,7.87023e-11
0.2375,0.00163987,8.06107e-11
0.24375,0.00167883,8.25039e-11
0.25,0.00171752,8.43821e-11
0.25625,0.00175593,8.62452e-11
0.2625,0.00179406,8.80928e-11
0.26875,0.0018319,8.99251e-11
0.275,0.00186946,9.1742e-11
0.28125,0.00190674,9.35432e-11
0.2875,0.00194373,9.53291e-11
0.29375,0.00198044,9.70995e-11
0.3,0.00201686,9.88541e-11
0.30625,0.002053,1.00593e-10
0.3125,0.00208886,1.02317e-10
0.31875,0.00212443,1.04025e-10
0.325,0.00215973,1.05718e-10
0.33125,0.00219474,1.07396e-10
0.3375,0.00222947,1.09058e-10
0.34375,0.00226392,1.10705e-10
0.35,0.0022981,1.12336e-10
0.35625,0.00233201,1.13953e-10
0.3625,0.00236564,1.15555e-10
0.36875,0.00239901,1.17142e-10
0.375,0.00243211,1.18714e-10
0.38125,0.00246494,1.20272e-10
0.3875,0.00249752,1.21815e-10
0.39375,0.00252983,1.23344e-10
0.4,0.00256189,1.24858e-10
0.40625,0.0025937,1.26359e-10
0.4125,0.00262526,1.27845e-10
0.41875,0.00265657,1.29318e-10
0.425,0.00268764,1.30778e-10
0.43125,0.00271847,1.32224e-10
0.4375,0.00274907,1.33657e-10
0.44375,0.00277943,1.35077e-10
0.45,0.00280956,1.36484e-10
0.45625,0.00283948,1.37878e-10
0.4625,0.00286917,1.3926e-10
0.46875,0.00289864,1.4063e-10
0.475,0.0029279,1.41987e-10
0.48125,0.00295695,1.43333e-10
0.4875,0.0029858,1.44667e-10
0.49375,0.00301445,1.45989e-10
0.5,0.0030429,1.47301e-10
0.50625,0.00307115,1.48601e-10
0.5125,0.00309922,1.49891e-10
0.51875,0.00312711,1.51169e-10
0.525,0.00315481,1.52437e-10
0.53125,0.00318234,1.53696e-10
0.5375,0.00320969,1.54944e-10
0.54375,0.00323688,1.56182e-10
0.55,0.0032639,1.57411e-10
0.55625,0.00329077,1.5863e-10
0.5625,0.00331748,1.5984e-10
0.56875,0.00334404,1.61041e-10
0.575,0.00337045,1.62233e-10
0.58125,0.00339672,1.63417e-10
0.5875,0.00342285,1.64592e-10
0.59375,0.00344884,1.65759e-10
0.6,0.00347471,1.66918e-10
0.60625,0.00350044,1.6807e-10
0.6125,0.00352606,1.69214e-10
0.61875,0.00355155,1.7035e-10
0.625,0.00357694,1.7148e-10
0.63125,0.00360221,1.72602e-10
0.6375,0.00362737,1.73718e-10
0.64375,0.00365243,1.74827e-10
0.65,0.0036774,1.7593e-10
0.65625,0.00370227,1.77027e-10
0.6625,0.00372704,1.78118e-10
0.66875,0.00375173,1.79203e-10
0.675,0.00377634,1.80282e-10
0.68125,0.00380087,1.81356e-10
0.6875,0.00382532,1.82425e-10
0.69375,0.0038497,1.83489e-10
0.7,0.00387401,1.84548e-10
0.70625,0.00389825,1.85602e-10
0.7125,0.00392244,1.86652e-10
0.71875,0.00394656,1.87698e-10
0.725,0.00397063,1.88739e-10
0.73125,0.00399466,1.89777e-10
0.7375,0.00401863,1.90811e-10
0.74375,0.00404256,1.91841e-10
0.75,0.00406645,1.92868e-10
0.75625,0.0040903,1.93891e-10
0.7625,0.00411412,1.94912e-10
0.76875,0.00413791,1.9593e-10
0.775,0.00416167,1.96944e-10
0.78125,0.00418541,1.97957e-10
0.7875,0.00420913,1.98967e-10
0.79375,0.00423283,1.99974e-10
0.8,0.00425652,2.0098e-10
0.80625,0.0042802,2.01984e-10
0.8125,0.00430387,2.02986e-10
0.81875,0.00432753,2.03986e-10
0.825,0.00435119,2.04985e-10
0.83125,0.00437486,2.05983e-10
0.8375,0.00439853,2.06979e-10
0.84375,0.0044222,2.07975e-10
0.85,0.00444589,2.08969e-10
0.85625,0.00446959,2.09963e-10
0.8625,0.00449331,2.10957e-10
0.86875,0.00451705,2.1195e-10
0.875,0.00454081,2.12943e-10
0.88125,0.0045646,2.13935e-10
0.8875,0.00458841,2.14928e-10
0.89375,0.00461225,2.15921e-10
0.9,0.00463613,2.16914e-10
0.90625,0.00466005,2.17908e-10
0.9125,0.004684,2.18902e-10
0.91875,0.004708,2.19897e-10
0.925,0.00473204,2.20893e-10
0.93125,0.00475613,2.21889e-10
0.9375,0.00478027,2.22887e-10
0.94375,0.00480447,2.23886e-10
0.95,0.00482871,2.24887e-10
0.95625,0.00485302,2.25889e-10
0.9625,0.00487739,2.26893e-10
0.96875,0.00490183,2.27898e-10
0.975,0.00492632,2.28906e-10
0.98125,0.00495089,2.29916e-10
0.9875,0.00497553,2.30927e-10
0.99375,0.00500025,2.31941e-10
1,0.00502504,2.32958e-10
1.00625,0.00504991,2.33977e-10
1.0125,0.00507487,2.34999e-10
1.01875,0.00509991,2.36024e-10
1.025,0.00512503,2.37052e-10
1.03125,0.00515025,2.38082e-10
1.0375,0.00517556,2.39117e-10
1.04375,0.00520097,2.40154e-10
1.05,0.00522647,2.41194e-10
1.05625,0.00525207,2.42239e-10
1.0625,0.00527778,2.43287e-10
1.06875,0.00530359,2.44339e-10
1.075,0.00532951,2.45395e-10
1.08125,0.00535554,2.46455e-10
1.0875,0.00538168,2.47519e-10
1.09375,0.00540794,2.48588e-10
1.1,0.00543431,2.49661e-10
1.10625,0.00546081,2.50738e-10
1.1125,0.00548743,2.51821e-10
1.11875,0.00551418,2.52908e-10
1.125,0.00554106,2.54e-10
1.13125,0.00556806,2.55097e-10
1.1375,0.0055952,2.56199e-10
1.14375,0.00562248,2.57307e-10
1.15,0.0056499,2.58421e-10
1.15625,0.00567746,2.59539e-10
1.1625,0.00570516,2.60664e-10
1.16875,0.00573301,2.61794e-10
1.175,0.00576101,2.62931e-10
1.18125,0.00578916,2.64073e-10
1.1875,0.00581746,2.65222e-10
1.19375,0.00584593,2.66377e-10
1.2,0.00587455,2.67538e-10
1.20625,0.00590334,2.68706e-10
1.2125,0.00593229,2.69881e-10
1.21875,0.00596141,2.71063e-10
1.225,0.0059907,2.72252e-10
1.23125,0.00602017,2.73447e-10
1.2375,0.00604981,2.7465e-10
1.24375,0.00607963,2.75861e-10
1.25,0.00610964,2.77079e-10
1.25625,0.00613983,2.78305e-10
1.2625,0.00617021,2.79538e-10
1.26875,0.00620077,2.80779e-10
1.275,0.00623154,2.82029e-10
1.28125,0.0062625,2.83287e-10
1.2875,0.00629366,2.84553e-10
1.29375,0.00632502,2.85827e-10
1.3,0.00635658,2.8711e-10
1.30625,0.00638836,2.88402e-10
1.3125,0.00642035,2.89703e-10
1.31875,0.00645255,2.91013e-10
1.325,0.00648497,2.92332e-10
1.33125,0.00651761,2.9366e-10
1.3375,0.00655048,2.94998e-10
1.34375,0.00658357,2.96346e-10
1.35,0.00661689,2.97703e-10
1.35625,0.00665045,2.9907e-10
1.3625,0.00668425,3.00448e-10
1.36875,0.00671828,3.01835e-10
1.375,0.00675256,3.03233e-10
1.38125,0.00678708,3.04642e-10
1.3875,0.00682186,3.06061e-10
1.39375,0.00685689,3.07491e-10
1.4,0.00689218,3.08932e-10
1.40625,0.00692772,3.10385e-10
1.4125,0.00696354,3.11848e-10
1.41875,0.00699962,3.13324e-10
1.425,0.00703597,3.1481e-10
1.43125,0.0070726,3.16309e-10
1.4375,0.0071095,3.1782e-10
1.44375,0.00714669,3.19343e-10
1.45,0.00718417,3.20879e-10
1.45625,0.00722193,3.22426e-10
1.4625,0.00725999,3.23987e-10
1.46875,0.00729835,3.25561e-10
1.475,0.00733701,3.27147e-10
1.48125,0.00737598,3.28747e-10
1.4875,0.00741526,3.30361e-10
1.49375,0.00745485,3.31988e-10
1.5,0.00749476,3.33629e-10
1.50625,0.00753499,3.35284e-10
1.5125,0.00757555,3.36953e-10
1.51875,0.00761645,3.38637e-10
1.525,0.00765767,3.40335e-10
1.53125,0.00769924,3.42048e-10
1.5375,0.00774115,3.43777e-10
1.54375,0.00778342,3.4552e-10
1.55,0.00782603,3.47279e-10
1.55625,0.00786901,3.49054e-10
1.5625,0.00791235,3.50844e-10
1.56875,0.00795605,3.52651e-10
1.575,0.00800013,3.54474e-10
1.58125,0.00804459,3.56313e-10
1.5875,0.00808943,3.5817e-10
1.59375,0.00813466,3.60043e-10
1.6,0.00818028,3.61933e-10
1.60625,0.0082263,3.63841e-10
1.6125,0.00827272,3.65767e-10
1.61875,0.00831955,3.67711e-10
1.625,0.0083668,3.69673e-10
1.63125,0.00841447,3.71653e-10
1.6375,0.00846256,3.73652e-10
1.64375,0.00851108,3.75671e-10
1.65,0.00856004,3.77708e-10
1.65625,0.00860944,3.79765e-10
1.6625,0.00865929,3.81841e-10
1.66875,0.0087096,3.83938e-10
1.675,0.00876036,3.86055e-10
1.68125,0.0088116,3.88192e-10
1.6875,0.0088633,3.90351e-10
1.69375,0.00891548,3.9253e-10
1.7,0.00896815,3.94731e-10
1.70625,0.00902131,3.96954e-10
1.7125,0.00907497,3.99198e-10
1.71875,0.00912914,4.01465e-10
1.725,0.00918381,4.03755e-10
1.73125,0.00923901,4.06068e-10
1.7375,0.00929473,4.08403e-10
1.74375,0.00935098,4.10763e-10
1.75,0.00940777,4.13146e-10
1.75625,0.00946511,4.15553e-10
1.7625,0.009523,4.17985e-10
1.76875,0.00958146,4.20442e-10
1.775,0.00964048,4.22924e-10
1.78125,0.00970008,4.25432e-10
1.7875,0.00976027,4.27965e-10
1.79375,0.00982105,4.30525e-10
1.8,0.00988243,4.33112e-10
1.80625,0.00994441,4.35725e-10
1.8125,0.010007,4.38366e-10
1.81875,0.0100702,4.41034e-10
1.825,0.0101341,4.43731e-10
1.83125,0.0101986,4.46456e-10
1.8375,0.0102638,4.4921e-10
1.84375,0.0103296,4.51993e-10
1.85,0.0103961,4.54806e-10
1.85625,0.0104632,4.5765e-10
1.8625,0.0105311,4.60523e-10
1.86875,0.0105996,4.63427e-10
1.875,0.0106689,4.66363e-10
1.88125,0.0107388,4.6933e-10
1.8875,0.0108095,4.72331e-10
1.89375,0.0108809,4.75363e-10
1.9,0.0109531,4.78428e-10
1.90625,0.011026,4.81527e-10
1.9125,0.0110997,4.8466e-10
1.91875,0.0111741,4.87828e-10
1.925,0.0112493,4.9103e-10
1.93125,0.0113254,4.94268e-10
1.9375,0.0114022,4.97541e-10
1.94375,0.0114799,5.00851e-10
1.95,0.0115583,5.04197e-10
1.95625,0.0116376,5.07582e-10
1.9625,0.0117178,5.11003e-10
1.96875,0.0117988,5.14463e-10
1.975,0.0118807,5.17962e-10
1.98125,0.0119635,5.215e-10
1.9875,0.0120472,5.25078e-10
1.99375,0.0121317,5.28697e-10
2,0.0122172,5.32356e-10
2.00625,0.0123036,5.36057e-10
2.0125,0.012391,5.398e-10
2.01875,0.0124793,5.43586e-10
2.025,0.0125686,5.47414e-10
2.03125,0.0126589,5.51287e-10
2.0375,0.0127501,5.55203e-10
2.04375,0.0128424,5.59164e-10
2.05,0.0129356,5.63171e-10
2.05625,0.0130299,5.67223e-10
2.0625,0.0131252,5.71322e-10
2.06875,0.0132216,5.75468e-10
2.075,0.0133191,5.79662e-10
2.08125,0.0134176,5.83903e-10
2.0875,0.0135172,5.88194e-10
2.09375,0.013618,5.92534e-10
2.1,0.0137198,5.96924e-10
2.10625,0.0138228,6.01365e-10
2.1125,0.0139269,6.05857e-10
2.11875,0.0140322,6.10401e-10
2.125,0.0141387,6.14997e-10
