t,x,y,z,vx,vy,vz
0,20,0,20,0,25,0
0.0125,20,0.3125,20,0.812572,25.0009,-0.120265
0.025,20.0102,0.625012,19.9985,1.6252,24.9784,-0.240522
0.0375,20.0305,0.937241,19.9955,2.43721,24.9323,-0.36076
0.05,20.0609,1.24889,19.991,3.24793,24.8627,-0.480972
0.0625,20.1015,1.55968,19.985,4.05667,24.7696,-0.601147
0.075,20.1522,1.8693,19.9775,4.86277,24.6531,-0.721277
0.0875,20.213,2.17746,19.9684,5.66554,24.5133,-0.841352
0.1,20.2838,2.48388,19.9579,6.46432,24.3503,-0.961365
0.1125,20.3647,2.78826,19.9459,7.25843,24.1641,-1.0813
0.125,20.4554,3.09031,19.9324,8.04721,23.9549,-1.20116
0.1375,20.556,3.38974,19.9174,8.83,23.7229,-1.32093
0.15,20.6663,3.68628,19.9009,9.60614,23.4682,-1.4406
0.1625,20.7864,3.97963,19.8829,10.375,23.1911,-1.56016
0.175,20.9161,4.26952,19.8634,11.1359,22.8916,-1.67961
0.1875,21.0553,4.55567,19.8424,11.8881,22.5702,-1.79892
0.2,21.2039,4.83779,19.8199,12.6312,22.2269,-1.91811
0.2125,21.3618,5.11563,19.7959,13.3644,21.8621,-2.03714
0.225,21.5289,5.38891,19.7704,14.0871,21.4761,-2.15603
0.2375,21.7049,5.65736,19.7435,14.7988,21.0691,-2.27475
0.25,21.8899,5.92072,19.715,15.4987,20.6415,-2.3933
0.2625,22.0837,6.17874,19.6851,16.1864,20.1936,-2.51168
0.275,22.286,6.43116,19.6537,16.8612,19.7258,-2.62986
0.2875,22.4968,6.67774,19.6209,17.5225,19.2384,-2.74785
0.3,22.7158,6.91821,19.5865,18.1698,18.7318,-2.86562
0.3125,22.9429,7.15236,19.5507,18.8026,18.2064,-2.98319
0.325,23.1779,7.37994,19.5134,19.4202,17.6627,-3.10053
0.3375,23.4207,7.60073,19.4746,20.0223,17.1011,-3.21763
0.35,23.671,7.81449,19.4344,20.6081,16.5219,-3.3345
0.3625,23.9286,8.02101,19.3927,21.1773,15.9258,-3.45111
0.375,24.1933,8.22009,19.3496,21.7294,15.3131,-3.56747
0.3875,24.4649,8.4115,19.305,22.2639,14.6844,-3.68355
0.4,24.7432,8.59506,19.259,22.7802,14.0402,-3.79936
0.4125,25.028,8.77056,19.2115,23.278,13.3809,-3.91489
0.425,25.3189,8.93782,19.1625,23.7569,12.7072,-4.03012
0.4375,25.6159,9.09666,19.1122,24.2164,12.0195,-4.14504
0.45,25.9186,9.2469,19.0603,24.6561,11.3184,-4.25966
0.4625,26.2268,9.38838,19.0071,25.0756,10.6046,-4.37395
0.475,26.5403,9.52094,18.9524,25.4745,9.8785,-4.48792
0.4875,26.8587,9.64442,18.8963,25.8526,9.14078,-4.60155
0.5,27.1818,9.75868,18.8388,26.2095,8.39202,-4.71483
0.5125,27.5095,9.86358,18.7799,26.5447,7.63283,-4.82776
0.525,27.8413,9.95899,18.7195,26.8582,6.86384,-4.94032
0.5375,28.177,10.0448,18.6578,27.1495,6.08568,-5.05252
0.55,28.5164,10.1209,18.5946,27.4184,5.29898,-5.16433
0.5625,28.8591,10.1871,18.5301,27.6646,4.50438,-5.27576
0.575,29.2049,10.2434,18.4641,27.888,3.70254,-5.38679
0.5875,29.5535,10.2897,18.3968,28.0883,2.89411,-5.49741
0.6,29.9046,10.3259,18.3281,28.2653,2.07977,-5.60763
0.6125,30.2579,10.3519,18.258,28.4189,1.26018,-5.71742
0.625,30.6132,10.3676,18.1865,28.5489,0.436009,-5.82678
0.6375,30.97,10.3731,18.1137,28.6551,-0.392055,-5.9357
0.65,31.3282,10.3682,18.0395,28.7375,-1.22333,-6.04418
0.6625,31.6874,10.3529,17.9639,28.796,-2.05713,-6.1522
0.675,32.0474,10.3272,17.887,28.8304,-2.89277,-6.25976
0.6875,32.4078,10.291,17.8088,28.8408,-3.72955,-6.36685
0.7,32.7683,10.2444,17.7292,28.827,-4.56679,-6.47346
0.7125,33.1286,10.1873,17.6483,28.7892,-5.40378,-6.57958
0.725,33.4885,10.1197,17.566,28.7273,-6.23984,-6.68521
0.7375,33.8476,10.0417,17.4825,28.6412,-7.07427,-6.79034
0.75,34.2056,9.95332,17.3976,28.5311,-7.90638,-6.89495
0.7625,34.5622,9.85449,17.3114,28.3971,-8.73546,-6.99905
0.775,34.9172,9.74529,17.2239,28.2392,-9.56085,-7.10262
0.7875,35.2702,9.62578,17.1351,28.0574,-10.3818,-7.20566
0.8,35.6209,9.49601,17.045,27.8521,-11.1977,-7.30816
0.8125,35.969,9.35604,16.9537,27.6232,-12.0079,-7.41011
0.825,36.3143,9.20594,16.8611,27.371,-12.8116,-7.5115
0.8375,36.6565,9.0458,16.7672,27.0956,-13.6082,-7.61232
0.85,36.9952,8.87569,16.672,26.7972,-14.397,-7.71257
0.8625,37.3301,8.69573,16.5756,26.4762,-15.1774,-7.81225
0.875,37.6611,8.50601,16.478,26.1326,-15.9487,-7.91133
0.8875,37.9877,8.30665,16.3791,25.7668,-16.7103,-8.00983
0.9,38.3098,8.09778,16.2789,25.379,-17.4614,-8.10772
0.9125,38.6271,7.87951,16.1776,24.9696,-18.2016,-8.205
0.925,38.9392,7.65199,16.075,24.5389,-18.9301,-8.30166
0.9375,39.2459,7.41536,15.9713,24.0871,-19.6464,-8.3977
0.95,39.547,7.16978,15.8663,23.6147,-20.3498,-8.49311
0.9625,39.8422,6.91541,15.7601,23.122,-21.0397,-8.58788
0.975,40.1312,6.65241,15.6528,22.6095,-21.7157,-8.682
0.9875,40.4138,6.38097,15.5443,22.0774,-22.377,-8.77547
1,40.6898,6.10125,15.4346,21.5262,-23.0231,-8.86829
1.0125,40.9589,5.81347,15.3237,20.9564,-23.6535,-8.96043
1.025,41.2208,5.5178,15.2117,20.3685,-24.2676,-9.0519
1.0375,41.4754,5.21445,15.0986,19.7628,-24.865,-9.1427
1.05,41.7225,4.90364,14.9843,19.1398,-25.4451,-9.2328
1.0625,41.9617,4.58558,14.8689,18.5002,-26.0074,-9.32221
1.075,42.193,4.26048,14.7523,17.8443,-26.5514,-9.41092
1.0875,42.416,3.92859,14.6347,17.1727,-27.0766,-9.49892
1.1,42.6307,3.59013,14.516,16.4859,-27.5827,-9.58621
1.1125,42.8368,3.24535,14.3961,15.7845,-28.0691,-9.67278
1.125,43.0341,2.89449,14.2752,15.0691,-28.5355,-9.75862
1.1375,43.2224,2.53779,14.1532,14.3402,-28.9814,-9.84373
1.15,43.4017,2.17553,14.0302,13.5984,-29.4064,-9.9281
1.1625,43.5717,1.80795,13.9061,12.8444,-29.8103,-10.0117
1.175,43.7322,1.43532,13.7809,12.0786,-30.1926,-10.0946
1.1875,43.8832,1.05791,13.6548,11.3019,-30.5529,-10.1767
1.2,44.0245,0.675999,13.5276,10.5147,-30.891,-10.258
1.2125,44.1559,0.289861,13.3993,9.71767,-31.2066,-10.3386
1.225,44.2774,-0.100222,13.2701,8.91155,-31.4994,-10.4184
1.2375,44.3888,-0.493965,13.1399,8.09696,-31.7691,-10.4974
1.25,44.49,-0.891079,13.0087,7.27455,-32.0155,-10.5756
1.2625,44.5809,-1.29127,12.8765,6.445,-32.2383,-10.6531
1.275,44.6615,-1.69425,12.7433,5.60899,-32.4374,-10.7297
1.2875,44.7316,-2.09972,12.6092,4.76719,-32.6125,-10.8055
1.3,44.7912,-2.50738,12.4741,3.92031,-32.7635,-10.8805
1.3125,44.8402,-2.91692,12.3381,3.06902,-32.8903,-10.9547
1.325,44.8785,-3.32805,12.2012,2.21404,-32.9927,-11.0281
1.3375,44.9062,-3.74046,12.0633,1.35606,-33.0706,-11.1006
1.35,44.9232,-4.15384,11.9246,0.495779,-33.1239,-11.1723
1.3625,44.9294,-4.56789,11.7849,-0.366082,-33.1525,-11.2432
