t,fe_error,rk4_error
0,0,0
0.0015625,2.8361e-06,2.1915e-15
0.003125,5.67217e-06,4.38296e-15
0.0046875,8.50818e-06,6.5794e-15
0.00625,1.13441e-05,8.76467e-15
0.0078125,1.41798e-05,1.09556e-14
0.009375,1.70154e-05,1.31489e-14
0.0109375,1.98507e-05,1.53364e-14
0.0125,2.26858e-05,1.75292e-14
0.0140625,2.55205e-05,1.97139e-14
0.015625,2.83549e-05,2.1906e-14
0.0171875,3.11889e-05,2.40952e-14
0.01875,3.40224e-05,2.62822e-14
0.0203125,3.68555e-05,2.84716e-14
0.021875,3.9688e-05,3.06581e-14
0.0234375,4.252e-05,3.28582e-14
0.025,4.53514e-05,3.50374e-14
0.0265625,4.81821e-05,3.72285e-14
0.028125,5.10121e-05,3.9409e-14
0.0296875,5.38414e-05,4.15965e-14
0.03125,5.66699e-05,4.37846e-14
0.0328125,5.94976e-05,4.59515e-14
0.034375,6.23245e-05,4.81487e-14
0.0359375,6.51504e-05,5.03139e-14
0.0375,6.79754e-05,5.25115e-14
0.0390625,7.07995e-05,5.46985e-14
0.040625,7.36225e-05,5.68528e-14
0.0421875,7.64445e-05,5.90551e-14
0.04375,7.92653e-05,6.12033e-14
0.0453125,8.20851e-05,6.33982e-14
0.046875,8.49036e-05,6.55818e-14
0.0484375,8.77209e-05,6.77443e-14
0.05,9.0537e-05,6.99198e-14
0.0515625,9.33518e-05,7.20951e-14
0.053125,9.61652e-05,7.42702e-14
0.0546875,9.89773e-05,7.64597e-14
0.05625,0.000101788,7.85959e-14
0.0578125,0.000104597,8.07465e-14
0.059375,0.000107405,8.29126e-14
0.0609375,0.000110211,8.50866e-14
0.0625,0.000113015,8.72606e-14
0.0640625,0.000115818,8.94267e-14
0.065625,0.00011862,9.16137e-14
0.0671875,0.000121419,9.37536e-14
0.06875,0.000124217,9.59304e-14
0.0703125,0.000127013,9.80649e-14
0.071875,0.000129808,1.00262e-13
0.0734375,0.0001326,1.02388e-13
0.075,0.000135391,1.04557e-13
0.0765625,0.000138179,1.06674e-13
0.078125,0.000140966,1.08863e-13
0.0796875,0.000143751,1.10972e-13
0.08125,0.000146534,1.13124e-13
0.0828125,0.000149314,1.15268e-13
0.084375,0.000152093,1.17419e-13
0.0859375,0.000154869,1.1958e-13
0.0875,0.000157643,1.21708e-13
0.0890625,0.000160415,1.23819e-13
0.090625,0.000163185,1.2593e-13
0.0921875,0.000165953,1.28075e-13
0.09375,0.000168718,1.30221e-13
0.0953125,0.000171481,1.32355e-13
0.096875,0.000174241,1.34498e-13
0.0984375,0.000176999,1.36589e-13
0.1,0.000179755,1.38691e-13
0.101562,0.000182508,1.40791e-13
0.103125,0.000185259,1.42949e-13
0.104688,0.000188007,1.45005e-13
0.10625,0.000190752,1.47177e-13
0.107813,0.000193495,1.49275e-13
0.109375,0.000196235,1.51388e-13
0.110938,0.000198973,1.53501e-13
0.1125,0.000201708,1.5566e-13
0.114063,0.00020444,1.5768e-13
0.115625,0.000207169,1.59839e-13
0.117188,0.000209895,1.61856e-13
0.11875,0.000212619,1.63985e-13
0.120313,0.00021534,1.66066e-13
0.121875,0.000218058,1.68165e-13
0.123438,0.000220772,1.70246e-13
0.125,0.000223484,1.72295e-13
0.126562,0.000226193,1.74414e-13
0.128125,0.000228899,1.76458e-13
0.129688,0.000231602,1.78476e-13
0.13125,0.000234302,1.80601e-13
0.132812,0.000236999,1.8272e-13
0.134375,0.000239692,1.84722e-13
0.135938,0.000242383,1.86864e-13
0.1375,0.00024507,1.88954e-13
0.139063,0.000247754,1.91015e-13
0.140625,0.000250434,1.93038e-13
0.142187,0.000253112,1.95108e-13
0.14375,0.000255786,1.97091e-13
0.145313,0.000258457,1.9919e-13
0.146875,0.000261124,2.01221e-13
0.148438,0.000263788,2.03266e-13
0.15,0.000266449,2.05296e-13
0.151563,0.000269106,2.07352e-13
0.153125,0.00027176,2.09394e-13
0.154688,0.00027441,2.11379e-13
0.15625,0.000277057,2.13449e-13
0.157813,0.000279701,2.15404e-13
