t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0.5375,28.2443,9.83012,18.6262,26.6293,5.89835,-5.05246,38.3255,41.5835,2.62568,43.7633,12.383,4.65655
0.55,28.5788,9.89901,18.5623,26.8806,5.12269,-5.16427,38.8756,41.7309,2.68379,44.234,11.1839,4.64059
0.5625,28.9162,9.95816,18.4971,27.1095,4.34001,-5.27569,39.4313,41.8631,2.74169,44.6702,9.97156,4.62427
0.575,29.2564,10.0075,18.4305,27.3157,3.55093,-5.38672,39.9922,41.9801,2.79939,45.0713,8.74702,4.60761
0.5875,29.599,10.0469,18.3624,27.4991,2.75613,-5.49735,40.5579,42.0817,2.85688,45.4371,7.51127,4.59061
0.6,29.9438,10.0764,18.293,27.6595,1.95626,-5.60756,41.128,42.1678,2.91416,45.7672,6.26532,4.57326
0.6125,30.2904,10.0958,18.2222,27.7969,1.15198,-5.71735,41.7019,42.2383,2.97121,46.0614,5.01022,4.55556
0.625,30.6386,10.1051,18.1501,27.911,0.343955,-5.82671,42.2793,42.2931,3.02804,46.3195,3.74699,4.53752
0.6375,30.9881,10.1044,18.0766,28.0018,-0.467139,-5.93563,42.8598,42.332,3.08465,46.5411,2.47668,4.51914
0.65,31.3385,10.0935,18.0017,28.0692,-1.28063,-6.0441,43.4427,42.3549,3.14102,46.7262,1.20034,4.50043
0.6625,31.6897,10.0724,17.9255,28.1131,-2.09585,-6.15212,44.0278,42.3619,3.19716,46.8746,-0.0809662,4.48137
0.675,32.0413,10.0411,17.8479,28.1336,-2.91211,-6.25968,44.6144,42.3529,3.25305,46.9861,-1.36619,4.46198
0.6875,32.393,9.99956,17.769,28.1305,-3.72875,-6.36677,45.2023,42.3278,3.3087,47.0606,-2.65426,4.44225
0.7,32.7444,9.94784,17.6887,28.1039,-4.54507,-6.47338,45.7908,42.2865,3.36411,47.0981,-3.94412,4.42218
0.7125,33.0955,9.88593,17.6072,28.0538,-5.36042,-6.5795,46.3796,42.2292,3.41926,47.0985,-5.2347,4.40179
0.725,33.4457,9.81384,17.5243,27.9803,-6.1741,-6.68513,46.9681,42.1557,3.47415,47.0619,-6.52493,4.38106
0.7375,33.7949,9.73159,17.44,27.8833,-6.98546,-6.79025,47.5559,42.0661,3.52878,46.9882,-7.81375,4.36001
0.75,34.1427,9.63922,17.3545,27.763,-7.7938,-6.89487,48.1426,41.9603,3.58315,46.8775,-9.10008,4.33862
0.7625,34.4888,9.53676,17.2677,27.6195,-8.59847,-6.99897,48.7277,41.8386,3.63725,46.73,-10.3829,4.31692
0.775,34.8331,9.42427,17.1795,27.4529,-9.39879,-7.10254,49.3107,41.7008,3.69107,46.5456,-11.6611,4.29488
0.7875,35.1751,9.30181,17.0901,27.2633,-10.1941,-7.20557,49.8912,41.5471,3.74462,46.3246,-12.9336,4.27252
0.8,35.5146,9.16944,16.9994,27.0508,-10.9838,-7.30807,50.4687,41.3775,3.79788,46.0671,-14.1994,4.24985
0.8125,35.8512,9.02724,16.9074,26.8157,-11.7671,-7.41001,51.0427,41.1921,3.85086,45.7734,-15.4574,4.22685
0.825,36.1849,8.8753,16.8141,26.5581,-12.5434,-7.5114,51.6129,40.9911,3.90355,45.4437,-16.7067,4.20354
0.8375,36.5151,8.71369,16.7196,26.2783,-13.3122,-7.61223,52.1787,40.7745,3.95595,45.0782,-17.9461,4.1799
0.85,36.8417,8.54253,16.6238,25.9765,-14.0726,-7.71248,52.7397,40.5425,4.00805,44.6773,-19.1746,4.15596
0.8625,37.1644,8.36191,16.5268,25.6528,-14.8242,-7.81215,53.2955,40.2952,4.05985,44.2412,-20.3913,4.1317
0.875,37.483,8.17196,16.4285,25.3077,-15.5663,-7.91124,53.8456,40.0327,4.11134,43.7704,-21.5951,4.10713
0.8875,37.797,7.97279,16.329,24.9413,-16.2983,-8.00973,54.3896,39.7554,4.16253,43.2652,-22.785,4.08226
