t,fe_error,rk4_error
0,0,0
0.003125,1.13443e-05,7.01315e-14
0.00625,2.26882e-05,1.40257e-13
0.009375,3.40311e-05,2.10375e-13
0.0125,4.53723e-05,2.80479e-13
0.015625,5.67111e-05,3.50564e-13
0.01875,6.80468e-05,4.20628e-13
0.021875,7.93789e-05,4.90659e-13
0.025,9.07066e-05,5.6067e-13
0.028125,0.000102029,6.30636e-13
0.03125,0.000113346,7.00571e-13
0.034375,0.000124657,7.70459e-13
0.0375,0.00013596,8.40288e-13
0.040625,0.000147256,9.10059e-13
0.04375,0.000158544,9.79773e-13
0.046875,0.000169822,1.04947e-12
0.05,0.000181091,1.11905e-12
0.053125,0.00019235,1.18858e-12
0.05625,0.000203598,1.25802e-12
0.059375,0.000214835,1.32737e-12
0.0625,0.000226059,1.39668e-12
0.065625,0.00023727,1.46589e-12
0.06875,0.000248468,1.53499e-12
0.071875,0.000259653,1.60404e-12
0.075,0.000270822,1.67294e-12
0.078125,0.000281977,1.74177e-12
0.08125,0.000293115,1.81046e-12
0.084375,0.000304237,1.87905e-12
0.0875,0.000315343,1.94754e-12
0.090625,0.000326431,2.01586e-12
0.09375,0.0003375,2.08413e-12
0.096875,0.000348551,2.15227e-12
0.1,0.000359583,2.22021e-12
0.103125,0.000370596,2.28809e-12
0.10625,0.000381587,2.35582e-12
0.109375,0.000392559,2.4234e-12
0.1125,0.000403508,2.49087e-12
0.115625,0.000414436,2.55816e-12
0.11875,0.000425342,2.62526e-12
0.121875,0.000436225,2.69226e-12
0.125,0.000447084,2.75905e-12
0.128125,0.00045792,2.82577e-12
0.13125,0.000468731,2.89229e-12
0.134375,0.000479518,2.95859e-12
0.1375,0.000490279,3.02484e-12
0.140625,0.000501015,3.0908e-12
0.14375,0.000511725,3.15658e-12
0.146875,0.000522408,3.22226e-12
0.15,0.000533065,3.28769e-12
0.153125,0.000543694,3.35298e-12
0.15625,0.000554295,3.41808e-12
0.159375,0.000564868,3.48297e-12
0.1625,0.000575413,3.54766e-12
0.165625,0.000585929,3.61215e-12
0.16875,0.000596416,3.67652e-12
0.171875,0.000606873,3.74076e-12
0.175,0.0006173,3.80463e-12
0.178125,0.000627697,3.86838e-12
0.18125,0.000638064,3.93188e-12
0.184375,0.000648399,3.99518e-12
0.1875,0.000658704,4.05827e-12
0.190625,0.000668977,4.12122e-12
0.19375,0.000679218,4.18389e-12
0.196875,0.000689427,4.24633e-12
0.2,0.000699604,4.30862e-12
0.203125,0.000709749,4.37053e-12
0.20625,0.000719861,4.43241e-12
0.209375,0.00072994,4.49396e-12
0.2125,0.000739985,4.55537e-12
0.215625,0.000749997,4.6164e-12
0.21875,0.000759976,4.67735e-12
0.221875,0.000769921,4.73801e-12
0.225,0.000779832,4.79847e-12
0.228125,0.000789708,4.85864e-12
0.23125,0.00079955,4.91868e-12
0.234375,0.000809358,4.97845e-12
0.2375,0.000819131,5.03793e-12
0.240625,0.00082887,5.0972e-12
0.24375,0.000838573,5.15619e-12
0.246875,0.000848242,5.21515e-12
0.25,0.000857875,5.27349e-12
0.253125,0.000867473,5.33187e-12
0.25625,0.000877036,5.39012e-12
0.259375,0.000886563,5.44801e-12
0.2625,0.000896055,5.50558e-12
0.265625,0.000905512,5.56295e-12
0.26875,0.000914932,5.62014e-12
0.271875,0.000924317,5.67707e-12
0.275,0.000933667,5.73375e-12
0.278125,0.00094298,5.79022e-12
0.28125,0.000952258,5.84629e-12
0.284375,0.000961501,5.90215e-12
0.2875,0.000970707,5.9579e-12
0.290625,0.000979878,6.0133e-12
0.29375,0.000989012,6.06867e-12
0.296875,0.000998112,6.12358e-12
0.3,0.00100717,6.17821e-12
0.303125,0.0010162,6.23265e-12
0.30625,0.00102519,6.2868e-12
0.309375,0.00103415,6.34076e-12
0.3125,0.00104307,6.3945e-12
0.315625,0.00105196,6.44805e-12
0.31875,0.00106081,6.50135e-12
0.321875,0.00106962,6.55447e-12
0.325,0.0010784,6.60719e-12
0.328125,0.00108714,6.65984e-12
0.33125,0.00109585,6.71205e-12
0.334375,0.00110453,6.76412e-12
0.3375,0.00111316,6.81586e-12
0.340625,0.00112177,6.86745e-12
0.34375,0.00113034,6.91883e-12
0.346875,0.00113887,6.96985e-12
0.35,0.00114737,7.02072e-12
0.353125,0.00115584,7.07134e-12
0.35625,0.00116427,7.12172e-12
0.359375,0.00117267,7.17188e-12
0.3625,0.00118103,7.2218e-12
0.365625,0.00118936,7.2715e-12
0.36875,0.00119766,7.32092e-12
0.371875,0.00120592,7.37024e-12
0.375,0.00121415,7.41921e-12
0.378125,0.00122234,7.468e-12
0.38125,0.00123051,7.51669e-12
0.384375,0.00123864,7.56493e-12
0.3875,0.00124673,7.61288e-12
0.390625,0.0012548,7.66078e-12
0.39375,0.00126283,7.70865e-12
0.396875,0.00127083,7.756e-12
0.4,0.0012788,7.8031e-12
0.403125,0.00128674,7.85024e-12
0.40625,0.00129464,7.89694e-12
0.409375,0.00130252,7.94353e-12
0.4125,0.00131036,7.98991e-12
0.415625,0.00131817,8.03596e-12
0.41875,0.00132595,8.08191e-12
0.421875,0.0013337,8.12762e-12
0.425,0.00134142,8.17317e-12
0.428125,0.00134911,8.21857e-12
0.43125,0.00135678,8.26355e-12
0.434375,0.00136441,8.30844e-12
0.4375,0.00137201,8.35312e-12
0.440625,0.00137958,8.3976e-12
0.44375,0.00138713,8.44189e-12
0.446875,0.00139464,8.48582e-12
0.45,0.00140213,8.52976e-12
0.453125,0.00140959,8.5734e-12
0.45625,0.00141702,8.61683e-12
0.459375,0.00142442,8.66023e-12
0.4625,0.00143179,8.70322e-12
0.465625,0.00143914,8.74601e-12
0.46875,0.00144646,8.78888e-12
0.471875,0.00145376,8.8313e-12
0.475,0.00146103,8.8737e-12
0.478125,0.00146827,8.91575e-12
0.48125,0.00147548,8.95772e-12
0.484375,0.00148267,8.99954e-12
0.4875,0.00148984,9.04115e-12
0.490625,0.00149698,9.08235e-12
0.49375,0.00150409,9.12361e-12
0.496875,0.00151118,9.16486e-12
0.5,0.00151825,9.20563e-12
0.503125,0.00152529,9.24631e-12
0.50625,0.0015323,9.28674e-12
0.509375,0.0015393,9.32736e-12
0.5125,0.00154627,9.36757e-12
0.515625,0.00155321,9.40742e-12
0.51875,0.00156014,9.44748e-12
0.521875,0.00156704,9.48708e-12
0.525,0.00157392,9.52658e-12
0.528125,0.00158077,9.56598e-12
0.53125,0.00158761,9.60522e-12
0.534375,0.00159442,9.64437e-12
0.5375,0.00160121,9.68326e-12
0.540625,0.00160798,9.72219e-12
0.54375,0.00161473,9.76061e-12
0.546875,0.00162146,9.79896e-12
0.55,0.00162817,9.83761e-12
0.553125,0.00163486,9.87557e-12
0.55625,0.00164153,9.91381e-12
0.559375,0.00164818,9.95147e-12
0.5625,0.00165481,9.98916e-12
0.565625,0.00166142,1.00269e-11
0.56875,0.00166801,1.00644e-11
0.571875,0.00167458,1.01017e-11
0.575,0.00168114,1.01389e-11
0.578125,0.00168768,1.0176e-11
0.58125,0.0016942,1.02128e-11
0.584375,0.0017007,1.02496e-11
0.5875,0.00170718,1.02864e-11
0.590625,0.00171365,1.03229e-11
0.59375,0.0017201,1.03592e-11
0.596875,0.00172654,1.03955e-11
0.6,0.00173296,1.04318e-11
0.603125,0.00173936,1.04677e-11
0.60625,0.00174575,1.05037e-11
0.609375,0.00175212,1.05394e-11
0.6125,0.00175847,1.05752e-11
0.615625,0.00176482,1.06107e-11
0.61875,0.00177114,1.06462e-11
0.621875,0.00177745,1.06816e-11
0.625,0.00178375,1.07169e-11
0.628125,0.00179004,1.07521e-11
0.63125,0.00179631,1.07871e-11
0.634375,0.00180256,1.0822e-11
0.6375,0.00180881,1.08569e-11
0.640625,0.00181504,1.08915e-11
0.64375,0.00182126,1.09261e-11
0.646875,0.00182746,1.09607e-11
0.65,0.00183366,1.09949e-11
0.653125,0.00183984,1.10294e-11
0.65625,0.00184601,1.10635e-11
0.659375,0.00185216,1.10976e-11
0.6625,0.00185831,1.11317e-11
0.665625,0.00186445,1.11656e-11
0.66875,0.00187057,1.11995e-11
0.671875,0.00187669,1.12331e-11
0.675,0.00188279,1.12669e-11
0.678125,0.00188888,1.13005e-11
0.68125,0.00189497,1.1334e-11
0.684375,0.00190104,1.13675e-11
0.6875,0.00190711,1.14009e-11
0.690625,0.00191316,1.14342e-11
0.69375,0.00191921,1.14674e-11
0.696875,0.00192525,1.15005e-11
0.7,0.00193128,1.15334e-11
0.703125,0.0019373,1.15666e-11
0.70625,0.00194331,1.15995e-11
0.709375,0.00194932,1.16323e-11
0.7125,0.00195532,1.16649e-11
0.715625,0.00196131,1.16977e-11
0.71875,0.00196729,1.17306e-11
0.721875,0.00197327,1.17631e-11
0.725,0.00197924,1.17956e-11
0.728125,0.0019852,1.18279e-11
0.73125,0.00199116,1.18605e-11
0.734375,0.00199711,1.18928e-11
0.7375,0.00200306,1.1925e-11
0.740625,0.002009,1.19573e-11
0.74375,0.00201493,1.19892e-11
0.746875,0.00202086,1.20214e-11
0.75,0.00202679,1.20535e-11
0.753125,0.00203271,1.20855e-11
0.75625,0.00203862,1.21173e-11
0.759375,0.00204453,1.21494e-11
0.7625,0.00205044,1.21812e-11
0.765625,0.00205634,1.2213e-11
0.76875,0.00206224,1.22449e-11
0.771875,0.00206813,1.22765e-11
0.775,0.00207403,1.23081e-11
0.778125,0.00207992,1.23398e-11
0.78125,0.0020858,1.23714e-11
0.784375,0.00209169,1.24029e-11
0.7875,0.00209757,1.24345e-11
0.790625,0.00210345,1.24658e-11
0.79375,0.00210932,1.24974e-11
0.796875,0.0021152,1.2529e-11
0.8,0.00212107,1.25603e-11
0.803125,0.00212694,1.25917e-11
0.80625,0.00213281,1.26232e-11
0.809375,0.00213868,1.26544e-11
0.8125,0.00214455,1.26856e-11
0.815625,0.00215042,1.27171e-11
0.81875,0.00215628,1.27481e-11
0.821875,0.00216215,1.27794e-11
0.825,0.00216802,1.28106e-11
0.828125,0.00217388,1.28418e-11
0.83125,0.00217975,1.2873e-11
0.834375,0.00218562,1.29042e-11
0.8375,0.00219148,1.29351e-11
0.840625,0.00219735,1.29663e-11
0.84375,0.00220322,1.29974e-11
0.846875,0.00220909,1.30286e-11
0.85,0.00221497,1.30596e-11
0.853125,0.00222084,1.30905e-11
0.85625,0.00222671,1.31218e-11
0.859375,0.00223259,1.31527e-11
0.8625,0.00223847,1.31838e-11
0.865625,0.00224435,1.3215e-11
0.86875,0.00225024,1.3246e-11
0.871875,0.00225612,1.32769e-11
0.875,0.00226201,1.3308e-11
0.878125,0.00226791,1.33388e-11
0.88125,0.0022738,1.33699e-11
0.884375,0.0022797,1.34007e-11
0.8875,0.0022856,1.3432e-11
