t,x,y,z,vx,vy,vz
0,20,0,20,0,25,0
0.0125,20.0051,0.312451,19.9992,0.812459,24.9882,-0.120264
0.025,20.0203,0.624608,19.997,1.62424,24.953,-0.240519
0.0375,20.0457,0.936178,19.9932,2.43467,24.8942,-0.360756
0.05,20.0812,1.24687,19.988,3.24307,24.8121,-0.480966
0.0625,20.1267,1.55638,19.9812,4.04876,24.7065,-0.601139
0.075,20.1824,1.86443,19.9729,4.85109,24.5777,-0.721268
0.0875,20.248,2.17073,19.9632,5.64936,24.4258,-0.841342
0.1,20.3236,2.47498,19.9519,6.44293,24.2508,-0.961353
0.1125,20.4091,2.7769,19.9391,7.23113,24.0529,-1.08129
0.125,20.5043,3.07621,19.9249,8.01331,23.8323,-1.20115
0.1375,20.6094,3.37262,19.9091,8.7888,23.5891,-1.32092
0.15,20.724,3.66584,19.8919,9.55697,23.3236,-1.44058
0.1625,20.8483,3.95561,19.8731,10.3172,23.0359,-1.56014
0.175,20.9819,4.24165,19.8529,11.0688,22.7264,-1.67959
0.1875,21.1249,4.52368,19.8311,11.8112,22.3952,-1.7989
0.2,21.2772,4.80144,19.8079,12.5437,22.0427,-1.91808
0.2125,21.4385,5.07466,19.7832,13.2658,21.6691,-2.03712
0.225,21.6088,5.34308,19.757,13.9768,21.2748,-2.156
0.2375,21.7879,5.60645,19.7293,14.6761,20.86,-2.27472
0.25,21.9756,5.8645,19.7001,15.3633,20.4252,-2.39327
0.2625,22.1719,6.117,19.6694,16.0376,19.9706,-2.51165
0.275,22.3765,6.36369,19.6373,16.6985,19.4967,-2.62983
0.2875,22.5893,6.60433,19.6037,17.3456,19.0039,-2.74781
0.3,22.8101,6.83871,19.5686,17.9781,18.4925,-2.86559
0.3125,23.0387,7.06657,19.532,18.5957,17.9629,-2.98315
0.325,23.2749,7.28771,19.494,19.1978,17.4157,-3.10049
0.3375,23.5186,7.50189,19.4545,19.7839,16.8513,-3.21759
0.35,23.7694,7.70892,19.4136,20.3534,16.2701,-3.33446
0.3625,24.0273,7.90858,19.3712,20.906,15.6726,-3.45107
0.375,24.292,8.10067,19.3273,21.4412,15.0594,-3.56742
0.3875,24.5633,8.285,19.282,21.9584,14.4309,-3.68351
0.4,24.8409,8.46138,19.2352,22.4574,13.7876,-3.79932
0.4125,25.1246,8.62963,19.187,22.9376,13.1301,-3.91484
0.425,25.4143,8.78957,19.1374,23.3987,12.4589,-4.03007
0.4375,25.7095,8.94105,19.0863,23.8403,11.7747,-4.14499
0.45,26.0102,9.08389,19.0337,24.262,11.0778,-4.2596
0.4625,26.316,9.21794,18.9798,24.6634,10.369,-4.3739
0.475,26.6267,9.34307,18.9244,25.0443,9.64884,-4.48786
0.4875,26.942,9.45912,18.8676,25.4042,8.91786,-4.60149
0.5,27.2617,9.56597,18.8094,25.743,8.17671,-4.71477
0.5125,27.5855,9.6635,18.7497,26.0603,7.42599,-4.8277
0.525,27.9131,9.75158,18.6887,26.3558,6.66633,-4.94026
0.5375,28.2443,9.83012,18.6262,26.6293,5.89835,-5.05246
0.55,28.5788,9.89901,18.5623,26.8806,5.12269,-5.16427
0.5625,28.9162,9.95816,18.4971,27.1095,4.34001,-5.27569
0.575,29.2564,10.0075,18.4305,27.3157,3.55093,-5.38672
0.5875,29.599,10.0469,18.3624,27.4991,2.75613,-5.49735
0.6,29.9438,10.0764,18.293,27.6595,1.95626,-5.60756
0.6125,30.2904,10.0958,18.2222,27.7969,1.15198,-5.71735
0.625,30.6386,10.1051,18.1501,27.911,0.343955,-5.82671
0.6375,30.9881,10.1044,18.0766,28.0018,-0.467139,-5.93563
0.65,31.3385,10.0935,18.0017,28.0692,-1.28063,-6.0441
0.6625,31.6897,10.0724,17.9255,28.1131,-2.09585,-6.15212
0.675,32.0413,10.0411,17.8479,28.1336,-2.91211,-6.25968
0.6875,32.393,9.99956,17.769,28.1305,-3.72875,-6.36677
0.7,32.7444,9.94784,17.6887,28.1039,-4.54507,-6.47338
0.7125,33.0955,9.88593,17.6072,28.0538,-5.36042,-6.5795
0.725,33.4457,9.81384,17.5243,27.9803,-6.1741,-6.68513
0.7375,33.7949,9.73159,17.44,27.8833,-6.98546,-6.79025
0.75,34.1427,9.63922,17.3545,27.763,-7.7938,-6.89487
0.7625,34.4888,9.53676,17.2677,27.6195,-8.59847,-6.99897
0.775,34.8331,9.42427,17.1795,27.4529,-9.39879,-7.10254
0.7875,35.1751,9.30181,17.0901,27.2633,-10.1941,-7.20557
0.8,35.5146,9.16944,16.9994,27.0508,-10.9838,-7.30807
0.8125,35.8512,9.02724,16.9074,26.8157,-11.7671,-7.41001
0.825,36.1849,8.8753,16.8141,26.5581,-12.5434,-7.5114
0.8375,36.5151,8.71369,16.7196,26.2783,-13.3122,-7.61223
0.85,36.8417,8.54253,16.6238,25.9765,-14.0726,-7.71248
0.8625,37.1644,8.36191,16.5268,25.6528,-14.8242,-7.81215
0.875,37.483,8.17196,16.4285,25.3077,-15.5663,-7.91124
0.8875,37.797,7.97279,16.329,24.9413,-16.2983,-8.00973
0.9,38.1064,7.76455,16.2283,24.554,-17.0195,-8.10762
0.9125,38.4108,7.54735,16.1263,24.1461,-17.7294,-8.2049
0.925,38.71,7.32136,16.0232,23.7179,-18.4274,-8.30156
0.9375,39.0037,7.08672,15.9188,23.2697,-19.1129,-8.3976
0.95,39.2916,6.84359,15.8132,22.802,-19.7854,-8.49301
0.9625,39.5736,6.59214,15.7065,22.3151,-20.4442,-8.58777
0.975,39.8494,6.33255,15.5985,21.8095,-21.0888,-8.6819
0.9875,40.1188,6.06498,15.4894,21.2855,-21.7187,-8.77537
1,40.3815,5.78964,15.3792,20.7435,-22.3334,-8.86818
1.0125,40.6373,5.50671,15.2677,20.1841,-22.9324,-8.96032
1.025,40.886,5.2164,15.1552,19.6076,-23.5151,-9.0518
1.0375,41.1274,4.91891,15.0414,19.0146,-24.0812,-9.14259
1.05,41.3613,4.61444,14.9266,18.4055,-24.63,-9.23269
