w_V,particles_remaining
0.2,90
0.25,89
0.3,92
0.35,84
0.4,87
0.45,82
0.5,92
0.55,89
0.6,84
0.65,67
0.7,87
0.75,89
0.8,89
0.85,88
0.9,92
0.95,92
1,91
1.05,88
1.1,92
1.15,84
1.2,52
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,79
1.6,81
1.65,89
1.7,90
1.75,95
1.8,91
1.85,92
1.9,90
1.95,91
2,93
2.05,95
2.1,74
2.15,1
2.2,1
2.25,87
2.3,89
2.35,90
2.4,87
2.45,92
2.5,88
