t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0.5375,28.0383,9.55595,18.8645,25.6706,5.12783,-4.26478,38.5319,41.8586,2.38606,44.7237,13.1564,3.86505
0.55,28.3606,9.61522,18.8106,25.8896,4.35473,-4.36488,39.0942,42.0156,2.4342,45.2268,11.9548,3.83735
0.5625,28.6855,9.66479,18.7554,26.0861,3.57569,-4.46484,39.6625,42.1574,2.482,45.6953,10.7388,3.80956
0.575,29.0126,9.70459,18.699,26.2599,2.79134,-4.56466,40.2364,42.284,2.52944,46.1289,9.50958,3.78166
0.5875,29.3419,9.73456,18.6413,26.4109,2.00235,-4.66431,40.8155,42.3951,2.57654,46.5272,8.26803,3.75367
0.6,29.6728,9.75464,18.5824,26.5389,1.20936,-4.7638,41.3994,42.4906,2.62328,46.8898,7.01521,3.72558
0.6125,30.0052,9.76478,18.5222,26.6439,0.413055,-4.8631,41.9876,42.5705,2.66968,47.2164,5.75214,3.69738
0.625,30.3388,9.76495,18.4608,26.7258,-0.385919,-4.9622,42.5797,42.6344,2.71572,47.5067,4.47987,3.66908
0.6375,30.6733,9.75512,18.3982,26.7844,-1.18689,-5.0611,43.1752,42.6824,2.7614,47.7606,3.19944,3.64068
0.65,31.0083,9.73527,18.3343,26.8198,-1.9892,-5.15978,43.7736,42.7144,2.80674,47.9777,1.91192,3.61216
0.6625,31.3437,9.70539,18.2692,26.832,-2.79216,-5.25824,44.3744,42.7302,2.85171,48.158,0.618356,3.58354
0.675,31.679,9.66547,18.2028,26.8208,-3.59512,-5.35645,44.9774,42.7298,2.89632,48.3011,-0.680177,3.5548
0.6875,32.0141,9.61551,18.1353,26.7863,-4.39741,-5.45442,45.5818,42.7132,2.94058,48.4071,-1.98261,3.52595
0.7,32.3486,9.55554,18.0665,26.7286,-5.19835,-5.55212,46.1874,42.6802,2.98447,48.4758,-3.28787,3.49698
0.7125,32.6822,9.48556,17.9964,26.6476,-5.99728,-5.64955,46.7936,42.631,3.028,48.5071,-4.59488,3.4679
0.725,33.0147,9.40562,17.9252,26.5435,-6.79353,-5.7467,47.3999,42.5654,3.07117,48.5011,-5.90256,3.43871
0.7375,33.3457,9.31574,17.8528,26.4163,-7.58644,-5.84356,48.0059,42.4834,3.11397,48.4577,-7.20983,3.40939
0.75,33.675,9.21597,17.7791,26.2662,-8.37535,-5.94011,48.6112,42.3851,3.1564,48.3769,-8.51562,3.37996
0.7625,34.0023,9.10638,17.7043,26.0932,-9.1596,-6.03634,49.2152,42.2705,3.19847,48.2588,-9.81886,3.3504
0.775,34.3272,8.98701,17.6282,25.8976,-9.93854,-6.13226,49.8175,42.1397,3.24016,48.1035,-11.1185,3.32073
0.7875,34.6496,8.85794,17.551,25.6794,-10.7115,-6.22784,50.4176,41.9926,3.28149,47.9111,-12.4133,3.29093
0.8,34.9691,8.71925,17.4725,25.4388,-11.4779,-6.32307,51.0151,41.8294,3.32243,47.6818,-13.7025,3.26101
0.8125,35.2855,8.57102,17.3929,25.1761,-12.237,-6.41795,51.6095,41.65,3.36301,47.4157,-14.9847,3.23097
0.825,35.5984,8.41335,17.3121,24.8915,-12.9883,-6.51246,52.2004,41.4548,3.40321,47.1131,-16.2591,3.2008
0.8375,35.9077,8.24635,17.2301,24.5851,-13.731,-6.6066,52.7872,41.2436,3.44303,46.7742,-17.5246,3.17051
0.85,36.213,8.07012,17.1469,24.2573,-14.4646,-6.70036,53.3696,41.0167,3.48247,46.3993,-18.78,3.1401
