t,x,y,z,vx,vy,vz
0,20,0,20,0,25,0
0.0015625,20,0.0390625,20,0.101571,25,-0.0150332
0.003125,20.0002,0.078125,20,0.203143,24.9997,-0.0300664
0.0046875,20.0005,0.117187,19.9999,0.304713,24.9989,-0.0450995
0.00625,20.001,0.156248,19.9999,0.406281,24.9979,-0.0601326
0.0078125,20.0016,0.195307,19.9998,0.507845,24.9964,-0.0751656
0.009375,20.0024,0.234364,19.9996,0.609404,24.9946,-0.0901985
0.0109375,20.0033,0.273418,19.9995,0.710956,24.9924,-0.105231
0.0125,20.0044,0.312468,19.9993,0.812501,24.9898,-0.120264
0.0140625,20.0057,0.351515,19.9992,0.914036,24.9869,-0.135297
0.015625,20.0071,0.390557,19.9989,1.01556,24.9836,-0.150329
0.0171875,20.0087,0.429594,19.9987,1.11707,24.98,-0.165361
0.01875,20.0105,0.468625,19.9984,1.21857,24.9759,-0.180393
0.0203125,20.0124,0.50765,19.9982,1.32006,24.9715,-0.195425
0.021875,20.0144,0.546668,19.9979,1.42153,24.9668,-0.210457
0.0234375,20.0167,0.585679,19.9975,1.52298,24.9616,-0.225488
0.025,20.019,0.624681,19.9972,1.62442,24.9561,-0.240519
0.0265625,20.0216,0.663675,19.9968,1.72583,24.9503,-0.25555
0.028125,20.0243,0.70266,19.9964,1.82722,24.9441,-0.27058
0.0296875,20.0271,0.741635,19.996,1.9286,24.9375,-0.28561
0.03125,20.0301,0.7806,19.9955,2.02994,24.9305,-0.30064
0.0328125,20.0333,0.819554,19.9951,2.13127,24.9232,-0.31567
0.034375,20.0366,0.858496,19.9946,2.23256,24.9155,-0.330699
0.0359375,20.0401,0.897427,19.9941,2.33383,24.9074,-0.345728
0.0375,20.0438,0.936345,19.9935,2.43507,24.899,-0.360756
0.0390625,20.0476,0.975249,19.993,2.53628,24.8902,-0.375784
0.040625,20.0515,1.01414,19.9924,2.63746,24.881,-0.390811
0.0421875,20.0557,1.05302,19.9918,2.7386,24.8715,-0.405838
0.04375,20.0599,1.09188,19.9911,2.83971,24.8616,-0.420865
0.0453125,20.0644,1.13072,19.9905,2.94079,24.8514,-0.435891
0.046875,20.069,1.16955,19.9898,3.04183,24.8407,-0.450916
0.0484375,20.0737,1.20837,19.9891,3.14283,24.8297,-0.465941
0.05,20.0786,1.24717,19.9884,3.24379,24.8184,-0.480966
0.0515625,20.0837,1.28594,19.9876,3.34471,24.8067,-0.495989
0.053125,20.0889,1.3247,19.9868,3.44558,24.7946,-0.511013
0.0546875,20.0943,1.36345,19.986,3.54642,24.7821,-0.526035
0.05625,20.0999,1.40217,19.9852,3.64721,24.7693,-0.541057
0.0578125,20.1056,1.44087,19.9844,3.74795,24.7561,-0.556079
0.059375,20.1114,1.47955,19.9835,3.84865,24.7426,-0.5711
0.0609375,20.1174,1.51821,19.9826,3.94929,24.7287,-0.58612
