t,x,y,z,vx,vy,vz
0.28125,22.4593,6.50267,19.6249,17.067,19.3098,-2.68885
0.284375,22.5127,6.56302,19.6165,17.2292,19.1863,-2.71834
0.2875,22.5665,6.62297,19.608,17.3905,19.0616,-2.74781
0.290625,22.6209,6.68254,19.5994,17.551,18.9358,-2.77728
0.29375,22.6757,6.74172,19.5907,17.7105,18.8088,-2.80673
0.296875,22.7311,6.80049,19.5819,17.8691,18.6806,-2.83617
0.3,22.7869,6.85887,19.5731,18.0268,18.5513,-2.86559
0.303125,22.8432,6.91684,19.5641,18.1835,18.4209,-2.895
0.30625,22.9001,6.97441,19.5551,18.3394,18.2893,-2.9244
0.309375,22.9574,7.03156,19.5459,18.4942,18.1566,-2.95378
0.3125,23.0152,7.0883,19.5367,18.6481,18.0228,-2.98315
0.315625,23.0734,7.14462,19.5274,18.8011,17.8878,-3.01251
0.31875,23.1322,7.20052,19.518,18.9531,17.7518,-3.04185
0.321875,23.1914,7.256,19.5085,19.1041,17.6146,-3.07118
0.325,23.2511,7.31104,19.4989,19.2541,17.4764,-3.10049
0.328125,23.3113,7.36566,19.4892,19.4031,17.337,-3.12979
0.33125,23.3719,7.41983,19.4794,19.5511,17.1966,-3.15907
0.334375,23.433,7.47357,19.4695,19.6981,17.0551,-3.18834
0.3375,23.4946,7.52687,19.4596,19.8441,16.9126,-3.2176
0.340625,23.5566,7.57972,19.4495,19.9891,16.7689,-3.24684
0.34375,23.6191,7.63213,19.4394,20.133,16.6243,-3.27606
0.346875,23.682,7.68408,19.4291,20.2759,16.4786,-3.30527
0.35,23.7453,7.73557,19.4188,20.4178,16.3318,-3.33446
0.353125,23.8091,7.78661,19.4084,20.5585,16.184,-3.36364
0.35625,23.8734,7.83718,19.3979,20.6983,16.0352,-3.3928
0.359375,23.9381,7.88729,19.3873,20.8369,15.8854,-3.42194
0.3625,24.0032,7.93694,19.3766,20.9745,15.7346,-3.45107
0.365625,24.0687,7.98611,19.3658,21.111,15.5828,-3.48019
0.36875,24.1347,8.0348,19.3549,21.2464,15.43,-3.50928
0.371875,24.2011,8.08302,19.3439,21.3807,15.2762,-3.53836
0.375,24.2679,8.13076,19.3329,21.5138,15.1214,-3.56743
0.378125,24.3351,8.17801,19.3217,21.6459,14.9657,-3.59647
0.38125,24.4028,8.22478,19.3105,21.7769,14.809,-3.6255
0.384375,24.4708,8.27106,19.2992,21.9067,14.6514,-3.65451
0.3875,24.5393,8.31685,19.2877,22.0354,14.4928,-3.68351
0.390625,24.6082,8.36214,19.2762,22.1629,14.3333,-3.71249
0.39375,24.6774,8.40693,19.2646,22.2893,14.1728,-3.74145
0.396875,24.7471,8.45122,19.2529,22.4146,14.0115,-3.77039
0.4,24.8171,8.495,19.2412,22.5386,13.8492,-3.79932
0.403125,24.8875,8.53828,19.2293,22.6616,13.686,-3.82823
0.40625,24.9584,8.58105,19.2173,22.7833,13.522,-3.85712
0.409375,25.0296,8.62331,19.2053,22.9038,13.357,-3.88599
0.4125,25.1011,8.66505,19.1931,23.0232,13.1912,-3.91484
0.415625,25.1731,8.70627,19.1809,23.1414,13.0245,-3.94368
0.41875,25.2454,8.74697,19.1686,23.2584,12.8569,-3.97249
0.421875,25.3181,8.78715,19.1562,23.3741,12.6885,-4.00129
0.425,25.3911,8.8268,19.1437,23.4887,12.5193,-4.03007
0.428125,25.4645,8.86592,19.1311,23.602,12.3492,-4.05883
0.43125,25.5383,8.90451,19.1184,23.7142,12.1783,-4.08757
0.434375,25.6124,8.94257,19.1056,23.825,12.0066,-4.11629
0.4375,25.6868,8.98009,19.0927,23.9347,11.8341,-4.14499
0.440625,25.7616,9.01707,19.0798,24.0431,11.6608,-4.17368
0.44375,25.8368,9.05351,19.0667,24.1503,11.4867,-4.20234
0.446875,25.9122,9.08941,19.0536,24.2562,11.3118,-4.23098
0.45,25.988,9.12476,19.0404,24.3608,11.1361,-4.25961
0.453125,26.0642,9.15956,19.0271,24.4642,10.9597,-4.28821
0.45625,26.1406,9.19381,19.0137,24.5663,10.7825,-4.3168
0.459375,26.2174,9.2275,19.0002,24.6672,10.6046,-4.34536
