t,x,y,z,vx,vy,vz
0,20,0,20,0,25,0
0.00625,20,0.15625,20,0.406286,25.0002,-0.0601327
0.0125,20.0025,0.312501,19.9996,0.812579,24.9946,-0.120264
0.01875,20.0076,0.468718,19.9989,1.2188,24.9831,-0.180394
0.025,20.0152,0.624862,19.9977,1.62485,24.9657,-0.24052
0.03125,20.0254,0.780897,19.9962,2.03066,24.9424,-0.300641
0.0375,20.0381,0.936787,19.9944,2.43613,24.9132,-0.360757
0.04375,20.0533,1.09249,19.9921,2.84119,24.8782,-0.420866
0.05,20.0711,1.24798,19.9895,3.24575,24.8373,-0.480967
0.05625,20.0914,1.40322,19.9865,3.64973,24.7906,-0.541059
0.0625,20.1142,1.55816,19.9831,4.05303,24.738,-0.601141
0.06875,20.1395,1.71277,19.9793,4.45559,24.6796,-0.661212
0.075,20.1673,1.86702,19.9752,4.8573,24.6154,-0.72127
0.08125,20.1977,2.02086,19.9707,5.2581,24.5453,-0.781314
0.0875,20.2306,2.17427,19.9658,5.65789,24.4694,-0.841344
0.09375,20.2659,2.32721,19.9606,6.05659,24.3878,-0.901358
0.1,20.3038,2.47963,19.9549,6.45412,24.3004,-0.961356
0.10625,20.3441,2.63151,19.9489,6.85039,24.2072,-1.02133
0.1125,20.3869,2.7828,19.9425,7.24533,24.1083,-1.08129
0.11875,20.4322,2.93348,19.9358,7.63885,24.0037,-1.14123
0.125,20.48,3.0835,19.9286,8.03086,23.8934,-1.20115
0.13125,20.5302,3.23284,19.9211,8.42129,23.7774,-1.26105
0.1375,20.5828,3.38144,19.9132,8.81005,23.6557,-1.32092
0.14375,20.6378,3.52929,19.905,9.19707,23.5284,-1.38077
0.15,20.6953,3.67635,19.8964,9.58225,23.3956,-1.44059
0.15625,20.7552,3.82257,19.8874,9.96553,23.2571,-1.50038
0.1625,20.8175,3.96792,19.878,10.3468,23.1131,-1.56015
0.16875,20.8822,4.11238,19.8682,10.726,22.9636,-1.61988
0.175,20.9492,4.2559,19.8581,11.1031,22.8086,-1.67959
0.18125,21.0186,4.39846,19.8476,11.4779,22.6481,-1.73927
0.1875,21.0903,4.54001,19.8367,11.8505,22.4822,-1.79891
0.19375,21.1644,4.68052,19.8255,12.2206,22.3109,-1.85852
0.2,21.2408,4.81996,19.8139,12.5883,22.1342,-1.91809
0.20625,21.3195,4.9583,19.8019,12.9534,21.9522,-1.97763
0.2125,21.4004,5.09551,19.7895,13.316,21.765,-2.03713
0.21875,21.4836,5.23154,19.7768,13.6758,21.5724,-2.09659
0.225,21.5691,5.36636,19.7637,14.0329,21.3747,-2.15601
0.23125,21.6568,5.49996,19.7502,14.3871,21.1718,-2.21539
0.2375,21.7467,5.63228,19.7364,14.7384,20.9638,-2.27473
0.24375,21.8389,5.7633,19.7222,15.0867,20.7506,-2.33403
0.25,21.9331,5.89299,19.7076,15.4319,20.5324,-2.39328
0.25625,22.0296,6.02132,19.6926,15.774,20.3093,-2.45249
0.2625,22.1282,6.14826,19.6773,16.1129,20.0811,-2.51165
0.26875,22.2289,6.27376,19.6616,16.4486,19.8481,-2.57077
0.275,22.3317,6.39781,19.6455,16.7808,19.6102,-2.62984
0.28125,22.4366,6.52038,19.6291,17.1097,19.3674,-2.68885
0.2875,22.5435,6.64142,19.6123,17.435,19.1199,-2.74782
0.29375,22.6525,6.76092,19.5951,17.7568,18.8677,-2.80674
0.3,22.7635,6.87885,19.5776,18.0749,18.6109,-2.8656
0.30625,22.8764,6.99516,19.5596,18.3894,18.3494,-2.92441
0.3125,22.9914,7.10985,19.5414,18.7001,18.0833,-2.98316
0.31875,23.1082,7.22287,19.5227,19.007,17.8128,-3.04186
0.325,23.227,7.3342,19.5037,19.31,17.5378,-3.1005
0.33125,23.3477,7.44381,19.4843,19.609,17.2584,-3.15908
0.3375,23.4703,7.55167,19.4646,19.904,16.9746,-3.2176
0.34375,23.5947,7.65776,19.4445,20.1949,16.6866,-3.27607
0.35,23.7209,7.76206,19.424,20.4817,16.3944,-3.33447
